t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma,input_sigma_diff,object_gui_cylinder_x,object_gui_cylinder_y,object_gui_cylinder_z
0.02,15.0,1.1493903857022756e+18,0.060295505813577135,0.03014577750555069,-0.00031955432052112206,-0.04607822417403702,0.01172194099361805,0.000661734594348046,-0.0070269822087952825,0.011490953768470456,0.00021731581536898938,-0.025097709519365317,0.029551738557588456,0.0006451370290600563,0.1454637522470532,0.011353106112602875,-0.001521273519210701,-0.059781803141272856,0.016016224967329056,0.0008721954040612578,-0.025059897957557663,0.029197230309704596,0.0006404438911483771,0.1339968952141665,0.015700616539974125,-0.0013489019536196396,-0.05408604714786609,0.015512268972894915,0.0008064194070595001,0.050673105867395915,0.015548219814375645,-0.0003883130667946988,-0.03868673846714846,0.028907358983682588,0.0007862462466141179,-0.005834411808399833,0.02833772374651309,0.00040646223360008325,1.1708887069924922e-06,0.015241833683199677,0.00018289196526578884,2.6975991145669045e-06,0.015058989762086927,0.00018068478062204866,0.0001309194994232241,0.02799777905003385,0.0003348485106575421,0.675,0.0,0.075,0.145,0.13
0.022,15.0,1.1493904200124897e+18,0.0631422763718953,0.03349530833950076,-0.0003216023696889165,-0.04820759564902001,0.013024378881797832,0.0007092312366700183,-0.007355987813353786,0.012767726409411614,0.00023753650341848276,-0.02581706286811772,0.032835265063987165,0.0006951956950002298,0.15180700932657926,0.012614562347336525,-0.0015941902787966005,-0.062461381753835504,0.017795805519254505,0.0009309313039263284,-0.02577802019608531,0.03244136701078288,0.0006900151796200865,0.1389510803538016,0.017445129488860137,-0.0013986211887036762,-0.05607950966923747,0.01723585441432768,0.0008558628187463253,0.052908061370624246,0.017275799793750716,-0.00040076767288374244,-0.0403430386867176,0.032119287759647314,0.0008496723147215493,-0.006067399851249326,0.03148635971834787,0.00044784925832097247,1.5849900686455164e-06,0.016935370759110748,0.00020321039844484507,3.6573300815311768e-06,0.016732210846763247,0.00020075415897178418,0.0001768014523374803,0.031108643388926494,0.00037173268667403924,0.7499999999999999,0.0,0.075,0.145,0.13
0.024,15.0,1.149390448552415e+18,0.06544368604198172,0.03684483917345084,-0.00031556924638133355,-0.04990829182484692,0.014326816769977617,0.0007504129490279715,-0.0076204713440521715,0.014044499050352776,0.0002568058423644787,-0.026399813002182096,0.03611879157038589,0.0007432302532620433,0.15729077376863174,0.013876018582070179,-0.0016551718889341088,-0.06475557349853256,0.019575386071179958,0.0009844412139001855,-0.02635948983270415,0.03568550371186117,0.0007375622868953577,0.14311909013105895,0.01918964243774615,-0.0014371372549926654,-0.057726256682711294,0.01895943985576045,0.0009004673942999751,0.05471342162807111,0.019003379773125786,-0.0004068561791699815,-0.0416587052114373,0.035331216535612046,0.0009080910626679559,-0.006244203643572577,0.03463499569018266,0.0004884287464971838,2.0879075248870346e-06,0.018628907835021826,0.0002235278741394382,4.826099576856415e-06,0.018405431931439575,0.0002208212952162965,0.0002322875424650095,0.03421950772781915,0.00040851247530578007,0.825,0.0,0.075,0.145,0.13
0.026000000000000002,15.0,1.1493904715172966e+18,0.06730344712522486,0.04019437000740091,-0.00030299179241496975,-0.0512592986256003,0.0156292546581574,0.0007864505577960518,-0.007832323934380818,0.015321271691293938,0.00027530091642415333,-0.026871933844024965,0.0394023180767846,0.0007896255729476004,0.16203136515918956,0.015137474816803831,-0.0017058395874219349,-0.06670827126740103,0.021354966623105407,0.0010333264814596556,-0.026830253772020432,0.038929640412939455,0.0007834695629477232,0.14662492059992724,0.020934155386632167,-0.0014662192169331214,-0.05907424965591612,0.02068302529719322,0.0009409113837588542,0.0561709022594065,0.020730959752500857,-0.000407789542506843,-0.042695736586539655,0.03854314531157678,0.000962422206276169,-0.006373675663021717,0.037783631662017446,0.0005283340236670803,2.688860378626278e-06,0.0203224449109329,0.00024384428404089617,6.226881352658196e-06,0.0200786530161159,0.00024088592299846852,0.00029827972737351085,0.037330372066711796,0.0004451770142909615,0.8999999999999999,0.0,0.075,0.145,0.13
0.028,15.0,1.1493904905467949e+18,0.06880554732554195,0.043543900841351,-0.00028511455540648637,-0.052324555376232096,0.016931692546337185,0.0008182918940632498,-0.008001115291611944,0.016598044332235103,0.0002931644191993911,-0.02725446042328303,0.04268584458318333,0.0008346933411264996,0.16612900862501936,0.016398931051537488,-0.001747589209291825,-0.06835789920141329,0.02313454717503086,0.0010781138213091827,-0.02721133223443359,0.04217377711401775,0.0008280483706324582,0.14957289460580772,0.02267866833551818,-0.0014873550271729088,-0.06016417361472244,0.02240661073862599,0.0009777703247345053,0.057346673997725445,0.022458539731875934,-0.0004045483503303668,-0.04350427419813115,0.04175507408754152,0.001013409728088974,-0.006462840050927691,0.04093226763385224,0.0005676713195624875,3.3972808872820123e-06,0.02201598198684398,0.0002641595175175842,7.883502392240896e-06,0.021751874100792226,0.0002609477666332748,0.0003756764150030351,0.04044123640560445,0.00048171548013877126,0.9750000000000001,0.0,0.075,0.145,0.13
0.03,15.0,1.1493905062108797e+18,0.07001800147716958,0.046893431675301064,-0.0002629453878028906,-0.05315581809988426,0.018234130434516965,0.0008467042297289888,-0.008134534692908445,0.01787481697317626,0.00031051118717745845,-0.027564428132675213,0.04596937108958203,0.0008786859781543808,0.16967012617022167,0.017660387286271135,-0.0017816234560649787,-0.06973807638323912,0.024914127726956305,0.0011192643231404352,-0.027519754219399863,0.04541791381509603,0.0008715509525943553,0.15205080586186034,0.02442318128440419,-0.0015017965598568424,-0.061030528152809876,0.024130196180058752,0.0010115324375373743,0.05829432013853229,0.024186119711250998,-0.0003979266514376934,-0.04412485897961157,0.04496700286350624,0.0010616553247396487,-0.0065172406020901396,0.04408090360568702,0.0006065249238793765,4.222833641447268e-06,0.023709519062755046,0.00028447346138241316,9.820718281378648e-06,0.023425095185468547,0.00028100654019691567,0.00046537214623618584,0.04355210074449709,0.0005181170919539286,1.0499999999999998,0.0,0.075,0.145,0.13
0.032,15.0,1.1493905190339589e+18,0.07099588953795546,0.05024296250925114,-0.00023730046761502122,-0.05379497788186712,0.019536568322696752,0.0008723086370709722,-0.008238748211132952,0.019151589614117424,0.0003274334916843104,-0.02781563325426784,0.049252897595980755,0.0009218079087438716,0.17272929034613632,0.01892184352100479,-0.0018089793917906026,-0.07087820260258233,0.02669370827888176,0.0011571814159454506,-0.02776931534323604,0.048662050516174324,0.0009141816568268903,0.1541325564547317,0.02616769423329021,-0.0015105973395428416,-0.06170255598793637,0.025853781621491524,0.0010426117172916167,0.05905723121697423,0.025913699690626076,-0.0003885674453748746,-0.044590258569391236,0.04817893163947098,0.0011076454874289906,-0.006541222639345081,0.047229539577521816,0.0006449613621553435,5.175434948215626e-06,0.025403056138666127,0.0003047859996602962,1.2064287995563976e-05,0.025098316270144874,0.00030106194662236197,0.0005682572788705084,0.04666296508338975,0.0005543711152458427,1.125,0.0,0.075,0.145,0.13
0.034,15.0,1.1493905294813375e+18,0.07178381667665999,0.05359249334320122,-0.0002088407543370509,-0.054275938040107385,0.020839006210876535,0.000895607809112924,-0.008318688094972097,0.020428362255058584,0.0003440053255942984,-0.028019248879652917,0.05253642410237947,0.0009642246882797678,0.17537089229718444,0.020183299755738442,-0.0018305518870847747,-0.07180397496618174,0.02847328883080721,0.0011922178972006746,-0.02797119178012109,0.05190618721725261,0.0009561060307258639,0.15588037013438555,0.027912207182176223,-0.0015146441912706659,-0.062205033075005904,0.027577367062924293,0.001071359076610328,0.05967054404077127,0.027641279670001146,-0.00037699141856367707,-0.044926946709651513,0.05139086041543571,0.0011517734278179235,-0.006538161347282021,0.0503781755493566,0.0006830327782644202,6.265272219372588e-06,0.027096593214577202,0.00032509701335554784,1.4641048053705547e-05,0.026771537354821198,0.00032111367680190764,0.0006852176731127433,0.049773829422282395,0.0005904668657209427,1.2,0.0,0.075,0.145,0.13
0.036000000000000004,15.0,1.1493905379561734e+18,0.07241790541765054,0.0569420241771513,-0.0001781015099941043,-0.054626134092863765,0.022141444099056322,0.0009170085856699645,-0.00837828719267762,0.021705134895999748,0.00036028587589166216,-0.02818432370026175,0.055819950608778195,0.0010060703938611732,0.17765056741016436,0.0214447559904721,-0.0018471136356805482,-0.0725378430627678,0.030252869382732667,0.001224682132186973,-0.028134437629778353,0.055150323918330905,0.000997458188381424,0.1573466502222195,0.02965672013106224,-0.0015146838000398798,-0.06255894077348483,0.029300952504357065,0.0010980718269523557,0.06016271180094194,0.02936885964937622,-0.0003636202126967406,-0.04515630109786385,0.05460278919140045,0.0011943568308126235,-0.006510646743771174,0.053526811521191396,0.000720779674421681,7.502823364604316e-06,0.02879013029048828,0.0003454063802192269,1.75789859890791e-05,0.02844475843949753,0.0003411614086973259,0.000817134378714046,0.05288469376117505,0.0006263937130567477,1.2750000000000001,0.0,0.075,0.145,0.13
0.038,15.0,1.1493905448020396e+18,0.07292740887216725,0.06029155501110138,-0.00014551620487858997,-0.054867764520169345,0.0234438819872361,0.0009368401929611983,-0.00842066885721354,0.02298190753694091,0.0003763223367554224,-0.0283181858965803,0.05910347711517691,0.001047453609785264,0.1796164148983083,0.02270621222520575,-0.0018593322622195033,-0.07309940958847906,0.03203244993465811,0.0012548435159691108,-0.028266387846783574,0.05839446061940919,0.0010383467789902507,0.1585755396949716,0.03140123307994825,-0.001511345005707255,-0.06278203756110405,0.03102453794578983,0.0011230017446312959,0.060556775468217375,0.03109643962875129,-0.00034879526606628776,-0.04529557329092013,0.057814717967365176,0.0012356522287827484,-0.006460633531324861,0.05667544749302618,0.0007582331308415683,8.898876189820685e-06,0.030483667366399354,0.000365713974516417,2.0907313088684395e-05,0.030117979524173853,0.00036120480645821727,0.0009648833238646529,0.0559955581000677,0.0006621410846562439,1.35,0.0,0.075,0.145,0.13
0.04,15.0,1.1493905503082711e+18,0.07333601714002383,0.06364108584505145,-0.0001114358763253897,-0.05501878736591204,0.02474631987541588,0.0009553690127470228,-0.008448300787636127,0.024258680177882068,0.00039215218842114733,-0.02842677025755248,0.062387003621575614,0.001088462274217871,0.18131004245800847,0.023967668459939397,-0.001867784957260427,-0.07350578280768075,0.03381203048658356,0.0012829372809007515,-0.02837298466330956,0.061638597320487466,0.0010788598220072526,0.1596042315918556,0.03314574602883426,-0.001505157523993648,-0.06288934521507872,0.03274812338722259,0.0011463619313799196,0.06087139331647624,0.03282401960812636,-0.0003327930703210922,-0.045358674052710136,0.0610266467433299,0.0012758666404110003,-0.0063895625033184465,0.059824083464860955,0.0007954166039542299,1.046454780063019e-05,0.032177204442310425,0.00038601966679344726,2.465653635253584e-05,0.03179120060885017,0.0003812435195491378,0.0011293350059658077,0.05910642243896034,0.0006976984693811483,1.4249999999999998,0.0,0.075,0.145,0.13
0.042,15.0,1.1493905547163794e+18,0.07366291524797917,0.06699061667900152,-7.614480553226766e-05,-0.055093727244719747,0.026048757763595665,0.0009728105415540924,-0.008463119656179437,0.025535452818823228,0.00040780504327751223,-0.028514883106847976,0.06567053012797433,0.0011291676046263218,0.18276746190729792,0.02522912469467305,-0.001872971013160025,-0.07377188640242723,0.03559161103850901,0.0013091687261542772,-0.02845904203217158,0.06488273402156576,0.001119068624218504,0.16046407003631932,0.03489025897772027,-0.001496567671369624,-0.06289356218442642,0.03447170882865536,0.001168332648524809,0.06112167459468378,0.03455159958750143,-0.0003158375247476977,-0.04535680927242946,0.06423857551929463,0.001315166994864057,-0.006298458911481224,0.06297271943669575,0.0008323473832801703,1.2211304010940829e-05,0.033870741518221496,0.00040632332364505037,2.8858529624815125e-05,0.033464421693526494,0.0004012771818860875,0.0013113541843960453,0.06221728677785299,0.0007330554212626462,1.4999999999999998,0.0,0.075,0.145,0.13
0.044,15.0,1.14939055822664e+18,0.07392363988542594,0.0703401475129516,-3.987321282033085e-05,-0.05510432883238529,0.02735119565177545,0.0009893390747579423,-0.008466632070231161,0.026812225459764392,0.000423304141391326,-0.02858641689987482,0.06895405663437305,0.0011696272768946525,0.18401985794059453,0.026490580929406704,-0.0018753225717346948,-0.07391073174653574,0.03737119159043446,0.0013337169359143404,-0.028528459858668948,0.06812687072264405,0.0011590309530577875,0.16118147560235896,0.03663477192660629,-0.0014859515773165564,-0.06280541499916965,0.036195294270088135,0.0011890662774541748,0.06131985460981592,0.036279179566876506,-0.00029810994033368734,-0.04529899489207469,0.06745050429525937,0.001353687762812266,-0.006188012173704332,0.06612135540853054,0.0008690377718401412,1.4150978756593702e-05,0.035564278594132574,0.00042662480748145964,3.354660384924058e-05,0.035137642778202825,0.0004213054109829361,0.0015117995753881743,0.06532815111674564,0.0007682015631881952,1.575,0.0,0.075,0.145,0.13
0.046,15.0,1.149390561004285e+18,0.07413077320655184,0.07368967834690168,-2.807538462291093e-06,-0.055060086049856995,0.028653633539955235,0.0010050955484680864,-0.008459996364926335,0.028088998100705552,0.00043866756205124057,-0.028644523991455496,0.07223758314077178,0.0012098880004877592,0.18509424834385338,0.027752037164140358,-0.0018752138493174503,-0.07393365693906623,0.039150772142359916,0.0013567380466667479,-0.028584397555129898,0.07137100742372234,0.0011987936073886954,0.16177872327286738,0.0383792848754923,-0.0014736262887224,-0.06263395695849071,0.0379188797115209,0.0012086915365282867,0.06147584139213234,0.03800675954625157,-0.00027975714076277215,-0.045192473867233414,0.07066243307122409,0.0013915371355595855,-0.006058640469081725,0.06926999138036533,0.000905496042648836,1.629579351386481e-05,0.03725781567004365,0.0004469239762954447,3.87555764014597e-05,0.03681086386287915,0.00044132780710835886,0.001731523549132487,0.0684390154556383,0.0008031265905630014,1.65,0.0,0.075,0.145,0.13
0.048,15.0,1.1493905631850977e+18,0.07429450468800841,0.07703920918085175,3.4901231691598866e-05,-0.054968670590678774,0.029956071428135014,0.0010201938897359043,-0.008444088868520157,0.029365770741646716,0.00045390920527887664,-0.028691757356801864,0.07552110964717049,0.0012499876036635117,0.1860140515513082,0.029013493398874008,-0.0018729690593397524,-0.0738505365697835,0.04093035269428536,0.0013783681156002191,-0.028629414641790422,0.07461514412480062,0.0012383945001591663,0.16227459665478272,0.04012379782437832,-0.0014598591053818688,-0.06238682197089211,0.039642465152953665,0.0012273170653373325,0.06159765837304887,0.03973433952562665,-0.0002608980223980683,-0.04504305380238307,0.07387436184718883,0.0014288020285730672,-0.005910543093057383,0.07241862735220012,0.000941727213855382,1.8658376722595325e-05,0.03895135274595472,0.0004672206834292903,4.4521839451748425e-05,0.03848408494755547,0.0004613439524538481,0.001971371829220883,0.07154987979453094,0.0008378202749447814,1.7249999999999999,0.0,0.075,0.145,0.13
0.05,15.0,1.1493905648803195e+18,0.07442308613632223,0.08038874001480183,7.313082392152099e-05,-0.054836278940628105,0.0312585093163148,0.0010347261588839229,-0.008419557591075178,0.030642543382587876,0.0004690395870132964,-0.028730184556027924,0.0788046361535692,0.0012899567221244528,0.18679957498195654,0.030274949633607662,-0.0018688692230124065,-0.07366996572324029,0.042709933246210814,0.0013987256377919319,-0.028665584651098554,0.07785928082587891,0.001277864345612032,0.1626849382836747,0.04186831077326433,-0.0014448754305782206,-0.06207044025125652,0.04136605059438644,0.0012450344707833425,0.06169180285754691,0.041461919505001714,-0.00024162886641656588,-0.04485538035381119,0.07708629062315356,0.0014655521331064397,-0.0057437428995488005,0.07556726332403489,0.0009777336770051073,2.125178321363167e-05,0.0406448898218658,0.0004875147773417185,5.088342731180274e-05,0.0401573060322318,0.00048135341031336056,0.002232183194545683,0.07466074413342359,0.0008722724676504325,1.7999999999999998,0.0,0.075,0.145,0.13
0.052000000000000005,15.0,1.1493905661808637e+18,0.0745232001661432,0.0837382708487519,0.0001117822165491561,-0.05466791339436591,0.03256094720449459,0.0010487667137414722,-0.008386865726609644,0.03191931602352904,0.00048406648337525064,-0.028761480029669172,0.08208816265996792,0.00132982016659195,0.18746843555290452,0.03153640586834132,-0.0018631580293633826,-0.0733994213172387,0.04448951379813627,0.0014179137542565188,-0.02869458740446211,0.08110341752695721,0.0013172280261366691,0.1630231126446925,0.04361282372215035,-0.0014288653747382921,-0.061690221583328264,0.04308963603581921,0.0012619209154449088,0.06176353630939197,0.043189499484376795,-0.00022202764047804142,-0.044633158620814004,0.0802982193991183,0.0015018431970351541,-0.005558120714634528,0.0787158992958697,0.001013515706345022,2.4089513640174107e-05,0.04233842689777688,0.0005078061013747589,5.788008271993506e-05,0.04183052711690812,0.0005013557242751558,0.002514789183765987,0.07777160847231625,0.0009064731033332468,1.875,0.0,0.075,0.145,0.13
0.054,15.0,1.1493905671608879e+18,0.07460025860533288,0.087087801682702,0.00015077521819870565,-0.05446760962372994,0.03386338509267437,0.0010623755818444834,-0.008346326904814521,0.03319608866447021,0.0004989954526929582,-0.028786999845334057,0.08537168916636666,0.00136959803035243,0.18803592206859593,0.032797862103074976,-0.0018560468813979545,-0.07304540351331869,0.04626909435006172,0.001436022188007605,-0.028717783767973504,0.0843475542280355,0.0013565056995899713,0.16330039585407802,0.04535733667103636,-0.0014119893116838736,-0.061250711006607804,0.04481322147725198,0.001278041316726963,0.061817119420023714,0.04491707946375187,-0.00020215748214768122,-0.04437933242030341,0.08351014817508304,0.0015377196815507643,-0.005353443248143624,0.08186453526770449,0.0010490718717880683,2.7185533912546087e-05,0.04403196397368796,0.0005280944935205734,6.555332201953917e-05,0.04350374820158445,0.0005213504174263741,0.002820013802453423,0.0808824728112089,0.000940412203529315,1.9500000000000002,0.0,0.075,0.145,0.13
