t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt,object_scanned_mug_x,object_scanned_mug_y,object_scanned_mug_z
0.046,5.0,0.0,-0.003150716545882135,0.05411891818641837,0.00034270092614477625,0.0031529857707632723,0.05305247545763506,0.00030042435721001264,0.0005473185355700619,0.04259344223209731,0.0002526403586491655,2.1175904975040875e-05,0.05411891818641837,0.0003246027843440505,0.00018864666214571648,0.05241604792279689,0.0003135087432540921,0.0005712779095765171,0.05241604792279689,0.00031150478724059904,7.397006409391666e-05,0.05305247545763506,0.0003179276605860271,9.947242585218597e-05,0.04175411527796631,0.0002500040753543475,0.0004454768041255191,0.0412532250098595,0.0002451865868994511,1.408,0.0,0.044945361888124015,0.12499832347138486,0.07859281178250928
0.048,5.0,0.0,-0.0033029022127688988,0.056578869013073754,0.00035837751335373534,0.00332637135775774,0.05546395161480029,0.0003138657950642221,0.0006129893925065184,0.04452950778810173,0.00026389313551519007,2.4156549272663557e-05,0.056578869013073754,0.0003393461586485923,0.0002149382824634687,0.054798595555651294,0.00032765969336103347,0.0006506860249435604,0.054798595555651294,0.0003253639058764487,8.428675784413335e-05,0.05546395161480029,0.00033233988930423823,0.00011336112054012493,0.04365202960878296,0.0002613153430975847,0.0005073936423972427,0.04312837160121675,0.0002560973687825474,1.472,0.0,0.04494268624628159,0.1249982077384541,0.07859748235549426
0.05,4.0,0.0,-0.0034544285476079627,0.05903881983972914,0.0003740503323149882,0.003501996939000494,0.057875427771965526,0.0003272943384852467,0.0006839481942852918,0.04646557334410616,0.00027511550370959783,2.7408633957422276e-05,0.05903881983972914,0.00035408797974273887,0.00024356476124142925,0.0571811431885057,0.0003417972294362534,0.0007370978239976543,0.0571811431885057,0.00033918274298137287,9.552137163994848e-05,0.057875427771965526,0.00034674684608472836,0.00012848900169972288,0.045549943939599616,0.0002726194969143569,0.0005747703538613826,0.045003518192574005,0.0002669767473010606,1.536,0.0,0.04494001060443916,0.12499809200552335,0.07860215292847923
0.052000000000000005,4.0,0.0,-0.003605264154263359,0.06149877066638452,0.0003897191952839549,0.0036799533752831758,0.060286903929130754,0.00034070944194078157,0.0007604139750515745,0.04840163890011059,0.0002863061442349518,3.0944871294642725e-05,0.06149877066638452,0.0003688281721945626,0.0002746252603660924,0.05956369082136011,0.00035592075636071204,0.0008308023153142354,0.05956369082136011,0.00035295955798417473,0.00010771319736792798,0.060286903929130754,0.00036114829534494484,0.00014490970981602633,0.04744785827041627,0.0002839162156122993,0.0006478320473046061,0.046878664783931254,0.00027782336658041924,1.6,0.0,0.044937334962596734,0.1249979762725926,0.07860682350146421
0.054,3.0,0.0,-0.003755377527158066,0.0639587214930399,0.0004053839138838196,0.0038603314641048885,0.06269838008629598,0.00035411056026607684,0.0008426049362570137,0.05033770445611501,0.0002974637428863806,3.477811981975937e-05,0.0639587214930399,0.00038356665973047154,0.00030821891575081217,0.061946238454214514,0.00037002967916309053,0.0009320873750920598,0.061946238454214514,0.00036669261683340164,0.00012090155628762867,0.06269838008629598,0.00037554400133356835,0.00016267699809258989,0.04934577260123292,0.0002952051773485014,0.000726802924603693,0.0487538113752885,0.0002886358759679034,1.6640000000000001,0.0,0.04493465932075431,0.12499786053966185,0.07861149407444919
0.056,2.0,0.0,-0.0039047370472180473,0.06641867231969528,0.00042104429908112014,0.004043221937618638,0.06510985624346122,0.00036749714867613797,0.0009307384128658412,0.05227377001211943,0.0003085869904551745,3.89213903173285e-05,0.06641867231969528,0.00039830336519925313,0.0003444448359467673,0.0643287860870689,0.0003841234030279086,0.001041239701591856,0.0643287860870689,0.00038038019227186107,0.0001351258002795453,0.06510985624346122,0.0003899337281230415,0.00018184473669213312,0.051243686932049566,0.0003064860596037419,0.000811906244282934,0.05062895796664575,0.0002994129302522524,1.728,0.0,0.04493198367891188,0.12499774480673109,0.07861616464743416
0.058,2.0,0.0,-0.004053310977829176,0.06887862314635065,0.0004367001611614123,0.004228715460556625,0.06752133240062644,0.00038086866277804683,0.0010250308397054576,0.05420983556812385,0.0003196745829315481,4.338785178576199e-05,0.06887862314635065,0.0004130382105361999,0.00038340210071644807,0.06671133371992331,0.0003982013333038593,0.0011585447697741304,0.06671133371992331,0.0003940205641099888,0.0001504253130959237,0.06752133240062644,0.00040431723960208135,0.00020246691692139135,0.05314160126286622,0.00031775853915704455,0.0009033642852367688,0.052504104558003,0.0003101531898823204,1.792,0.0,0.04492930803706945,0.12499762907380034,0.07862083522041914
0.06,1.0,0.0,-0.004201067460807497,0.07133857397300604,0.00045235130970501124,0.004416902628133451,0.06993280855779167,0.00039422455858341025,0.0011256977179672268,0.05614590112412828,0.00033072522170653695,4.819083738720446e-05,0.07133857397300604,0.0004277711167273217,0.00042518975956823814,0.06909388135277772,0.0004122628755123676,0.0012842867861439457,0.06909388135277772,0.00040761201949802154,0.0001668395116145343,0.06993280855779167,0.00041869429946817454,0.0002245976553580113,0.05503951559368287,0.00032902229206056887,0.0010013983106241448,0.05437925114936026,0.00032085532118474096,1.856,0.0,0.044926632395227026,0.12499751334086959,0.07862550579340412
0.062,0.0,0.0,-0.004347974512383259,0.07379852479966141,0.0004679975535628134,0.004607873963926287,0.0723442847149569,0.0004075642925209407,0.0012329535818632056,0.0580819666801327,0.0003417376137729928,5.3343850381977225e-05,0.07379852479966141,0.00044250200377364524,0.0004699068302506754,0.07147642898563213,0.0004263074353563834,0.0014187486438104592,0.07147642898563213,0.00042115285319692906,0.00018440784709549646,0.0723442847149569,0.0004330646712200542,0.0002482911979173587,0.056937429924499516,0.000340276993614849,0.0011062285319410477,0.0562543977407175,0.00033151799658056013,1.92,0.0,0.0449239567533846,0.12499739760793883,0.0786301763663891
0.064,0.0,0.0,-0.004494000019199159,0.0762584756263168,0.00048363870083220037,0.004801719917731078,0.07475576087212213,0.00042088732144917506,0.0013470119654445084,0.06001803223613712,0.00035271047192564353,5.886057004701295e-05,0.0762584756263168,0.00045723079065560895,0.0005176522972049905,0.07385897661848653,0.00044033441872941514,0.0015622118777689647,0.07385897661848653,0.0004346413678480564,0.0002031698064412429,0.07475576087212213,0.0004474281181501598,0.00027360192385712,0.05883534425531617,0.00035152231834439284,0.0012180740732776185,0.05812954433207475,0.00034213989480080223,1.984,0.0,0.04492128111154217,0.12499728187500808,0.07863484693937407
0.066,0.0,0.0,-0.004639111734323236,0.07871842645297218,0.000499274558833028,0.0049985308633938574,0.07716723702928736,0.0004341931026693377,0.0014680853695869783,0.061954097792141546,0.0003636425149601822,6.4754857577706e-05,0.07871842645297218,0.000471957395297551,0.000568525109974533,0.07624152425134094,0.0004543432317248157,0.0017149566204131463,0.07624152425134094,0.0004480758742414319,0.00022316491345970865,0.07716723702928736,0.00046178440333707676,0.00030058434971759804,0.06073325858613282,0.0003627579399736542,0.0013371529357662428,0.060004690923432004,0.0003527197011009263,2.048,0.0,0.044918605469699745,0.12499716614207733,0.07863951751235905
0.068,0.0,0.0,-0.004783277273276848,0.08117837727962757,0.0005149049340837049,0.005198397096616248,0.0795787131864526,0.00044748109393835244,0.0015963852291498045,0.06389016334814597,0.000374532467871354,7.104076197260391e-05,0.08117837727962757,0.00048668173453229917,0.0006226241815697108,0.07862407188419535,0.0004683332806453249,0.0018772615572852096,0.07862407188419535,0.0004614546915826932,0.00024443273013082775,0.0795787131864526,0.00047613328963795734,0.00032929313319561814,0.06263117291694947,0.0003739835314033913,0.0014636819622269577,0.06187983751478925,0.00036325610747413805,2.112,0.0,0.04491592982785732,0.12499705040914658,0.07864418808534403
0.07,0.0,0.0,-0.004926464110078169,0.08363832810628295,0.0005305296322773588,0.00540140883273425,0.08199018934361783,0.0004607507534820095,0.0017321218803126963,0.0658262289041504,0.0003853790620500036,7.773252590036656e-05,0.08363832810628295,0.000501403724065862,0.0006800483867870796,0.08100661951704975,0.0004823039720128803,0.002049403883071511,0.08100661951704975,0.00047477614775858726,0.00026701285787641624,0.08199018934361783,0.000490474539680922,0.00035978307694997864,0.06452908724776613,0.0003851987646874231,0.0015978768020164884,0.06375498410614651,0.0003737478128635173,2.176,0.0,0.04491325418601489,0.12499693467621582,0.078648858658329
0.07200000000000001,0.0,0.0,-0.005068639573301632,0.08609827893293834,0.0005461484582580991,0.005607656204469411,0.08440166550078307,0.0004740015400082929,0.0018755045280971932,0.06776229446015482,0.0003961810354790527,8.484459154842021e-05,0.08609827893293834,0.0005161232784422279,0.0007408965604812382,0.08338916714990416,0.0004962547125787025,0.0022316592578512664,0.08338916714990416,0.0004880385796009959,0.00029094493883351805,0.08440166550078307,0.0005048079158574399,0.00039210913233639864,0.06642700157858278,0.00039640331100979683,0.0017399518760871883,0.06563013069750376,0.00038419352337292357,2.24,0.0,0.044910578544172464,0.12499681894328507,0.07865352923131398
0.074,0.0,0.0,-0.005209770842153754,0.08855822975959371,0.000561761215997372,0.0058172292596514845,0.08681314165794829,0.00048723291272087326,0.002026741214077656,0.06969836001615924,0.0004069371329283723,9.239160645273473e-05,0.08855822975959371,0.0005308403110082717,0.0008052674957881954,0.08577171478275857,0.000510184909333664,0.0024243017636058728,0.08577171478275857,0.0005012403331494438,0.00031626865713128605,0.08681314165794829,0.0005191331803146887,0.0004263264030699351,0.06832491590939943,0.00040759684066237823,0.0018901203422621163,0.06750527728886101,0.0003945919524766429,2.3040000000000003,0.0,0.04490790290233004,0.12499670321035432,0.07865819980429896
0.076,0.0,0.0,-0.0053498249425657654,0.09101818058624908,0.000577367708570417,0.006030217958911707,0.08922461781511351,0.0005004443313327722,0.0021860387842874505,0.07163442557216367,0.00041764610614851606,0.00010038842930815305,0.09101818058624908,0.0005455547338787781,0.0008732599422988927,0.08815426241561294,0.0005240939695189485,0.002627603860996326,0.08815426241561294,0.0005143797639120424,0.000343023740171468,0.08922461781511351,0.0005334500949478934,0.000462490148812859,0.07022283024021607,0.00041877902302287683,0.0020485940607324485,0.06938042388021824,0.00040494182122773677,2.368,0.0,0.04490522726048761,0.12499658747742357,0.07866287037728394
0.078,0.0,0.0,-0.0054887687433034784,0.09347813141290447,0.0005929677381328214,0.006246712173345808,0.09163609397227875,0.0005136352560802022,0.0023536028573258034,0.07357049112816809,0.0004283067140632838,0.00010885013575870314,0.09347813141290447,0.0005602664579015779,0.000944972604181584,0.09053681004846735,0.0005379813006370107,0.002841836346416177,0.09053681004846735,0.0005274552371248262,0.00037124995991256305,0.09163609397227875,0.0005477584213926437,0.0005006557886860029,0.07212074457103272,0.00042994952653331917,0.0022155835597833743,0.0712555704715755,0.0004152418584650584,2.432,0.0,0.04490255161864518,0.12499647174449281,0.07866754095026891
