t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_scanned_mug_x,object_gui_scanned_mug_y,object_gui_scanned_mug_z
0.226,0.0,0.0,0.011177733319767243,0.3074938533319226,0.003560291028245539,0.06727363194763096,0.30143451964565376,0.0028298489744796305,0.11020773789144997,0.24200819450055291,0.0016119084721350145,0.010797107314961163,0.3074938533319226,0.0035646062054966446,0.05761926114618588,0.2978184541068005,0.0029000945266406436,0.1471260482091729,0.2978184541068005,0.0018483804725245333,0.024008197653665336,0.30143451964565376,0.0033368559668722777,0.033685983382952034,0.23723929135208133,0.0024536157258567095,0.11414433177496695,0.23439332391965625,0.001473956068375096,8.0,0.0,0.045,0.125,0.09
0.228,0.0,0.0,0.01156245004647278,0.3074938533319226,0.0035557934401458644,0.06895532027428625,0.30143451964565376,0.0028099306523762736,0.1127570332831039,0.24200819450055291,0.0015816054793092353,0.011159998272058555,0.3074938533319226,0.003560360952203537,0.059116496279841724,0.2978184541068005,0.002882390315527376,0.15049555494360328,0.2978184541068005,0.0018083088707715315,0.02466446208212311,0.30143451964565376,0.003329115863903861,0.03461659428017638,0.23723929135208133,0.0024426396956295517,0.11674787501485323,0.23439332391965625,0.0014429879057362717,8.0,0.0,0.045,0.125,0.09
0.23,0.0,0.0,0.0119572559440621,0.3074938533319226,0.0035511768394253978,0.07065860410955954,0.30143451964565376,0.0027897503924564104,0.1153296440776809,0.24200819450055291,0.001551013934609388,0.011532163804802341,0.3074938533319226,0.0035560062607183683,0.0606355075727623,0.2978184541068005,0.0028644234939235055,0.15389423860633722,0.2978184541068005,0.001767874789958367,0.025332023332160385,0.30143451964565376,0.0033212406907623684,0.03556317755809322,0.23723929135208133,0.0024314723648628596,0.11937346781976094,0.23439332391965625,0.0014117453868576363,8.0,0.0,0.045,0.125,0.09
0.232,0.0,0.0,0.012362324060319658,0.3074938533319226,0.003546439168654326,0.07238324752407232,0.30143451964565376,0.0027693109864331306,0.1179248334300501,0.24200819450055291,0.0015201426050744642,0.011913760367711584,0.3074938533319226,0.003551540274325443,0.062176184095780775,0.2978184541068005,0.0028461953584084584,0.15732106120613903,0.2978184541068005,0.0017270905860055598,0.026010923006516237,0.30143451964565376,0.0033132299557619206,0.03652576242658699,0.23723929135208133,0.0024201133655278573,0.12202029041297159,0.23439332391965625,0.0013802382731987438,8.0,0.0,0.045,0.125,0.09
0.234,0.0,0.0,0.012777828985594514,0.3074938533319226,0.003541578351259235,0.07412901132640365,0.30143451964565376,0.0027486152654589775,0.12054185847072539,0.24200819450055291,0.0014890003328460338,0.012304946107528091,0.3074938533319226,0.0035469611155705323,0.06373841199731796,0.2978184541068005,0.002827707240132237,0.16077497676948801,0.2978184541068005,0.0016859687148079378,0.026701203332849036,0.30143451964565376,0.0033050831596696502,0.03750437655916042,0.23723929135208133,0.002408562347105932,0.12468751698159493,0.23439332391965625,0.001348476402080216,8.0,0.0,0.045,0.125,0.09
0.23600000000000002,0.0,0.0,0.013203946799386768,0.3074938533319226,0.0035365922921559365,0.0758956530883196,0.30143451964565376,0.0027276660998310017,0.12317997054191471,0.24200819450055291,0.0014575960323579304,0.012705880826629164,0.3074938533319226,0.003542266886692734,0.06532207446218333,0.2978184541068005,0.002808960505313791,0.1642549316920663,0.2978184541068005,0.00164452172804775,0.027402907159474847,0.30143451964565376,0.003296799795753657,0.03849904601567948,0.23723929135208133,0.002396818977515051,0.12737431596416565,0.23439332391965625,0.001316469683256736,8.0,0.0,0.045,0.125,0.09
0.23800000000000002,0.0,0.0,0.013640855016263529,0.3074938533319226,0.00353147887839043,0.077682927170662,0.30143451964565376,0.0027064663986880104,0.12583841543534682,0.24200819450055291,0.0014259386875036585,0.013116725945840195,0.3074938533319226,0.0035374556700635213,0.06692705167074808,0.2978184541068005,0.0027899565557354066,0.16775986509270277,0.2978184541068005,0.0016027622689768106,0.028116077950832676,0.30143451964565376,0.003288379349834147,0.0395097951651129,0.23723929135208133,0.002384882944036822,0.1300798503401472,0.23439332391965625,0.0012842280954658873,8.0,0.0,0.045,0.125,0.09
0.24,0.0,0.0,0.014088732531112237,0.3074938533319226,0.0035262359797879083,0.07949058474990468,0.30143451964565376,0.0026850191096999014,0.1285164336317964,0.24200819450055291,0.001394037348782473,0.013537644466645866,0.3074938533319226,0.003532525528632989,0.06855322075853051,0.2978184541068005,0.002770696829232629,0.1712887091696474,0.2978184541068005,0.001560703068169173,0.028840759782668323,0.30143451964565376,0.0032798213003378536,0.04053664660831458,0.23723929135208133,0.002372753954243621,0.132803277921236,0.23439332391965625,0.0012517616829541085,8.0,0.0,0.045,0.125,0.09
0.242,0.0,0.0,0.014547759563739325,0.3074938533319226,0.003520861449609724,0.08131837384538551,0.30143451964565376,0.002663327218748989,0.13121326054222782,0.24200819450055291,0.001361901130425078,0.013968800932798654,0.3074938533319226,0.0035274745063833208,0.070200455776234,0.2978184541068005,0.00275118280017924,0.1748403895590506,0.2978184541068005,0.0015183569392458376,0.029576997336928534,0.30143451964565376,0.0032711251183558253,0.04157962110089736,0.23723929135208133,0.002360431736925201,0.13554375164435864,0.23439332391965625,0.0012190805519810431,8.0,0.0,0.045,0.125,0.09
0.244,0.0,0.0,0.015018117602822376,0.3074938533319226,0.0035153531252181992,0.08316603934722208,0.30143451964565376,0.002641393749603219,0.13392812675047744,0.24200819450055291,0.0013295392074999012,0.014410361391323442,0.3074938533319226,0.003522300628789487,0.07186862765027809,0.2978184541068005,0.0027314159799667983,0.17841382569552025,0.2978184541068005,0.0014757367745729991,0.030324835896357132,0.30143451964565376,0.0032622902677047027,0.04263873747624687,0.23723929135208133,0.002347916043014208,0.13830041986625477,0.23439332391965625,0.0011861948673035714,8.0,0.0,0.045,0.125,0.09
0.246,0.0,0.0,0.015499989349224058,0.3074938533319226,0.0035097088287492023,0.08503332304491905,0.30143451964565376,0.00261922176358118,0.1366602582573938,0.24200819450055291,0.0012969608130009057,0.01486249335291695,0.3074938533319226,0.0035170019032871895,0.07355760414386302,0.2978184541068005,0.0027113979174782695,0.18200793117462896,0.2978184541068005,0.0014328555409353634,0.031084321338784804,0.30143451964565376,0.0032533162049915593,0.04371401256872427,0.23723929135208133,0.0023352066465100138,0.14107242665953673,0.23439332391965625,0.0011531148486408178,8.0,0.0,0.045,0.125,0.09
