t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_roll_adapt,object_adaptive_cylinder_x,object_adaptive_cylinder_y,object_adaptive_cylinder_z
0.048,5.0,0.0,1.767476948265124e-05,0.053749925562420066,0.00032240832775863414,0.00025643209639394536,0.052690754034060275,0.00031479242323660905,0.0004577117217169745,0.04230303239869664,0.00025140706290330235,2.2948721777796522e-05,0.053749925562420066,0.00032237885071628936,0.00020419136836853194,0.052058665777868725,0.00031127670869286723,0.0006181517236978801,0.052058665777868725,0.00030909571058262015,8.007241994169558e-05,0.052690754034060275,0.0003157228948390678,0.00010769306452378848,0.04146942812834381,0.00024824957594266213,0.0004820239602771612,0.04097195302115591,0.0002432925003434209,1.3983999999999999,0.0,0.047676128129214006,0.12500135520051192,0.07850002472248
0.05,5.0,0.0,2.0390799049811824e-05,0.05608687884774268,0.0003364152244695602,0.0002902502831845341,0.05498165638336725,0.0003283513457218399,0.0005184962367518104,0.04414229467690085,0.00026210749773110327,2.6038202214090996e-05,0.05608687884774268,0.0003363835807557893,0.0002313865232204517,0.05432208602908042,0.00032470736796427134,0.0007002429327999534,0.05432208602908042,0.00032222360583229525,9.074530304305591e-05,0.05498165638336725,0.00032940950378055337,0.00012206455163026953,0.04327244674261964,0.0002589885220685751,0.0005460318361679948,0.042753342282945306,0.0002536279099360089,1.4592,0.0,0.04780200204552924,0.12500141896861333,0.0785000263832342
0.052000000000000005,5.0,0.0,2.3364148766458267e-05,0.05842383213306529,0.00035042064800409287,0.00032691971337000104,0.057272558732674214,0.0003418938506969381,0.0005844125432899797,0.04598155695510506,0.00027277836431011945,2.9397627664730225e-05,0.05842383213306529,0.0003503867635851072,0.000260893997406702,0.0565855062802921,0.0003381247185424299,0.0007892621995516546,0.0565855062802921,0.0003353115800849529,0.00010232753747816907,0.057272558732674214,0.00034309088057778695,0.0001376642243475005,0.04507546535689545,0.00026972040483159114,0.0006154404449389196,0.04453473154473469,0.0002639321982514002,1.52,0.0,0.04792787596184448,0.12500148273671474,0.0785000280439884
0.054,5.0,0.0,2.6606777468933843e-05,0.060760785418387905,0.0003644245276177287,0.0003665551973195159,0.059563461081981184,0.0003554192482116671,0.0006556636435088384,0.047820819233309254,0.00028341844014011567,3.303921373660233e-05,0.060760785418387905,0.00036438832674433905,0.0002928079700465713,0.05884892653150378,0.00035152819520458246,0.0008854830063418882,0.05884892653150378,0.0003483579859917128,0.00011485647844303046,0.059563461081981184,0.0003567668012670181,0.00015454314821946626,0.04687848397117127,0.0002804449184809426,0.0006904627783728642,0.04631612080652407,0.0002742040821695109,1.5808,0.0,0.04805374987815972,0.12500154650481615,0.0785000297047426
0.056,5.0,0.0,3.0130818882647886e-05,0.06309773870371051,0.00037842679155744943,0.00040927135654809926,0.061854363431288154,0.0003689268494038119,0.0007324517615743953,0.04966008151151346,0.0002940265072080277,3.697532067279046e-05,0.06309773870371051,0.00037838819693984346,0.0003272225942657061,0.06111234678271547,0.00036491723287601337,0.0009891777165184554,0.06111234678271547,0.0003613611826582415,0.00012836951022337137,0.061854363431288154,0.00037043704171707076,0.00017275249990151998,0.04868150258544709,0.00029116175662336575,0.0007713109320678895,0.04809751006831346,0.0002844422837396436,1.6416,0.0,0.048179623794474956,0.12500161027291756,0.0785000313654968
0.058,5.0,0.0,3.394858840090599e-05,0.06543469198903312,0.00039242736702090286,0.00045518261620405414,0.06414526578059512,0.00038241596654428215,0.0008149783136162055,0.051499343789717655,0.00030460135216885955,4.121845901896998e-05,0.06543469198903312,0.000392386300010162,0.0003642319958410134,0.06337576703392715,0.00037829126663796865,0.0011006175312939744,0.06337576703392715,0.0003743195359044522,0.00014290404738289834,0.06414526578059512,0.00038410137762223055,0.0001923435711360258,0.0504845211997229,0.0003018706121989283,0.000858196070973694,0.049878899330102845,0.0002946455303882097,1.7024,0.0,0.04830549771079019,0.12500167404101897,0.078500033026251
0.06,0.0,0.0,3.8072589838285864e-05,0.06777164527435574,0.000406426180115729,0.0005044031975612115,0.06643616812990209,0.0003958859130821882,0.0009034438778315374,0.053338606067921866,0.000315141766525834,4.5781295275675575e-05,0.06777164527435574,0.0004063825608920206,0.000403930271808618,0.06563918728513884,0.00039164973173578697,0.0012200724468484259,0.06563918728513884,0.0003872314185230692,0.00015849753595433938,0.06643616812990209,0.00039775958449511515,0.0002133677726729498,0.05228753981399873,0.0003125711774571762,0.0009513283950912539,0.05166028859189224,0.0003048125551255113,1.7632,0.0,0.04843137162710543,0.12500173780912038,0.0785000346870052
0.062,0.0,0.0,4.2515522157601833e-05,0.07010859855967834,0.0004204231558190403,0.0005570471105161897,0.06872707047920905,0.000409336003689887,0.0009980481647236857,0.055177868346126056,0.0003256465468097671,5.06766575358885e-05,0.07010859855967834,0.000420376903586416,0.00044641148903353125,0.06790260753635051,0.00040499206358725136,0.0013478112116357202,0.06790260753635051,0.0004000952105370125,0.00017518745463338263,0.06872707047920905,0.00041141143765952823,0.0002358766381333735,0.05409055842827454,0.0003232631439336095,0.001050917105341726,0.05344167785368162,0.0003149420967515422,1.8239999999999998,0.0,0.04855724554342067,0.1250018015772218,0.0785000363477594
0.064,0.0,0.0,4.729028616950571e-05,0.07244555184500096,0.0004344182179370601,0.0006132281460908694,0.07101797282851602,0.000422765554307999,0.0010989899874792818,0.05701713062433026,0.00033611449475763947,5.591754110739471e-05,0.07244555184500096,0.00043436925112479044,0.0004917696827397021,0.0701660277875622,0.00041831769779117204,0.0014841012839016464,0.0701660277875622,0.0004129092994555589,0.00019301131597559097,0.07101797282851602,0.00042505671224329585,0.00025992182781391906,0.05589357704255035,0.0003339462024265019,0.0011571703696107085,0.05522306711547101,0.0003250329000607757,1.8847999999999998,0.0,0.048683119459735906,0.1250018653453232,0.0785000380085136
0.066,0.0,0.0,5.2409991203776486e-05,0.07478250513032357,0.00044841128906492435,0.0006730598689402845,0.073308875177823,0.0004361738821903928,0.0012064672324894265,0.05885639290253447,0.00034654441749033116,6.151711411936531e-05,0.07478250513032357,0.00044835952553529704,0.0005400988549991314,0.07242944803877388,0.00043162607013620506,0.001629208789420521,0.07242944803877388,0.00042567208052923344,0.0002120066675963726,0.073308875177823,0.0004386951831710845,0.0002855551324300916,0.05769659565682618,0.0003446200429740736,0.0012702952889739243,0.0570044563772604,0.00033508371604589816,1.9456,0.0,0.048808993376051144,0.12500192911342461,0.0785000396692678
0.068,0.0,0.0,5.788796175135637e-05,0.07711945841564619,0.0004624022905466545,0.0007366556098661356,0.07559977752712997,0.00044956030594913815,0.0013206768300194464,0.060695655180738675,0.0003569351276894955,6.748872311261106e-05,0.07711945841564619,0.00046234764780916097,0.000591492973178746,0.07469286828998557,0.0004449166166099187,0.0017833984794578231,0.07469286828998557,0.00043838195700339033,0.00023221109337408542,0.07559977752712997,0.00045232662515720163,0.00031282847679655967,0.059499614271102,0.00035528435483203147,0.001390497864110356,0.058785845639049795,0.0003450933021004552,2.0064,0.0,0.04893486729236638,0.12500199288152603,0.078500041330022
0.07,0.0,0.0,6.373774407619583e-05,0.0794564117009688,0.0004763911424353047,0.0008041284583361296,0.07789067987643694,0.00046292414559942485,0.001441814725032053,0.06253491745894288,0.0003672854437735406,7.38458986129637e-05,0.0794564117009688,0.0004763335378671371,0.0006460459683437406,0.07695628854119727,0.00045818877340811115,0.0019469336889660546,0.07695628854119727,0.00045103734037043664,0.0002536622146563492,0.07789067987643694,0.00046595081269837715,0.00034179392344241315,0.06130263288537782,0.00036593882645148755,0.0015179829619088301,0.06056723490083918,0.00035506042222037295,2.0672,0.0,0.04906074120868162,0.12500205664962744,0.0785000429907762
0.07200000000000001,0.0,0.0,6.997311279597548e-05,0.08179336498629142,0.0004903777634532913,0.0008755912550093532,0.08018158222574391,0.00047626472260444666,0.0015700758481686527,0.06437417973714708,0.0003775941900726902,8.060236068723706e-05,0.08179336498629142,0.0004903171145260707,0.0007038517336161115,0.07921970879240894,0.00047144197694439123,0.0021200762950210265,0.07921970879240894,0.00046363665062065736,0.00027639769146963725,0.08018158222574391,0.00047956752006652535,0.00037250367615945394,0.06310565149965364,0.0003765831454572674,0.001652954282274007,0.06234862416262857,0.00036498384720431846,2.128,0.0,0.049186615124996856,0.12500212041772885,0.0785000446515304
0.074,0.0,0.0,7.660807743077843e-05,0.08413031827161402,0.0005043620709529082,0.0009511565842678897,0.08247248457505087,0.0004895813599202491,0.0017056540868935315,0.06621344201535127,0.00038786019700309577,8.777202448122208e-05,0.08413031827161402,0.0005042982954655607,0.0007650041224871185,0.08148312904362062,0.000484675663860027,0.0023030866755057275,0.08148312904362062,0.00047617831649159764,0.0003004552237322153,0.08247248457505087,0.0004931765213014873,0.0004050100834815936,0.06490867011392945,0.00038721699862661994,0.0017956143251377042,0.06413001342441796,0.00037486235485286373,2.1888,0.0,0.049312489041312094,0.12500218418583026,0.0785000463122846
0.076,0.0,0.0,8.365688891879195e-05,0.08646727155693662,0.0005183439808770351,0.0010309367667548884,0.08476338692435782,0.0005028733820405395,0.0018487422568056124,0.06805270429355546,0.00039808230123997157,9.536900573917006e-05,0.08646727155693662,0.0005182769971947324,0.0008295969470824283,0.08374654929483229,0.000497889271034071,0.00249622366804889,0.08374654929483229,0.0004886607757159594,0.00032587255247049264,0.08476338692435782,0.0005067775902037536,0.0004393656420934507,0.06671168872820525,0.00039784007186834195,0.001946164357681434,0.06591140268620732,0.00038469473016641766,2.2495999999999996,0.0,0.04943836295762733,0.12500224795393167,0.0785000479730388
0.078,0.0,0.0,9.113404609812343e-05,0.08880422484225925,0.0005323234077200428,0.0011150438519192999,0.0870542892736648,0.0005161401150414595,0.001999532073122449,0.06989196657175968,0.00040825934588972437,0.0001034076263042198,0.08880422484225925,0.0005322531350191205,0.0008977239763787041,0.086009969546044,0.0005110822355937694,0.0026997445292253177,0.086009969546044,0.0005010824752679706,0.00035268746103884715,0.0870542892736648,0.0005203705003271659,0.0004756230001662592,0.0685147073424811,0.0004084520502023259,0.0021048043817760032,0.06769279194799672,0.0003944797655418917,2.3104,0.0,0.04956423687394257,0.12500231172203308,0.078500049633793
0.08,0.0,0.0,9.905430215382132e-05,0.09114117812758185,0.0005463002644889025,0.001203589610567491,0.08934519162297178,0.0005293808866263149,0.0021582141223410976,0.07173122884996389,0.0004183901806610486,0.00011190241959922445,0.09114117812758185,0.0005462266230076658,0.0009694789343704295,0.08827338979725567,0.0005242539949252618,0.0029139048940249952,0.08827338979725567,0.0005134418716081821,0.0003809377763429817,0.08934519162297178,0.0005339550249715976,0.0005138349606192192,0.07031772595675691,0.00041905261773954387,0.002271733101643981,0.06947418120978611,0.0004042162609680607,2.3712,0.0,0.049690110790257806,0.1250023754901345,0.07850005129454721
0.082,0.0,0.0,0.00010743267102919793,0.09347813141290447,0.0005602744626645039,0.001296685527421956,0.09163609397227875,0.0005425950261702676,0.00232497783408047,0.07357049112816809,0.0004284736620349619,0.00012086813608743544,0.09347813141290447,0.0005601973739598314,0.0010449554981857593,0.09053681004846735,0.0005374039866845816,0.0031389587355979526,0.09053681004846735,0.0005257374309266541,0.00041066137006686674,0.09163609397227875,0.0005475309371756145,0.0005540544843044411,0.07212074457103272,0.0004296414576624811,0.0024471478917507984,0.0712555704715755,0.00041390302421958914,2.432,0.0,0.049815984706573044,0.1250024392582359,0.07850005295530141
