t,ncon,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff
0.04,0.0,3.267422652760552e-05,0.05842383213306528,0.0007007520363753036,0.000379825804500064,0.05727255873267421,0.0006833780557101627,0.0006869374056263541,0.04598155695510505,0.0005447364951968812,3.4660364441604624e-05,0.05842383213306528,0.0007007315388262992,0.0003069221480449539,0.05658550628029209,0.0006758811932318534,0.000927960787101186,0.05658550628029209,0.0006695126890338788,0.0001204001892276522,0.05727255873267421,0.0006860372025243588,0.0001620171451529012,0.045075465356895446,0.0005392460754997499,0.0007235804889981331,0.04453473154473468,0.0005269985691978959,1.5199999999999998,0.0
0.042,0.0,3.8065686805697955e-05,0.06149877066638451,0.0007375931572782829,0.00044122879928204636,0.06028690392913075,0.0007188849374955682,0.0007977367259770395,0.04840163890011058,0.0005725764179338107,4.0355846236700935e-05,0.06149877066638451,0.0007375693236233149,0.0003566128226622499,0.0595636908213601,0.0007110812240797818,0.0010775964552996683,0.0595636908213601,0.000703628760411107,0.00013991456369532858,0.06028690392913075,0.0007219980448788371,0.00018831977813443292,0.04744785827041626,0.0005674300935031604,0.0008402456475308392,0.04687866478393125,0.0005538610115391973,1.5999999999999999,0.0
0.044,0.0,4.4036366054909566e-05,0.06457370919970375,0.0007744277221547766,0.0005088970472050363,0.0633012491255873,0.000754320243915663,0.000919774613113705,0.05082172084511611,0.0006002878094296688,4.665704426318129e-05,0.06457370919970375,0.0007744002402416046,0.0004113931547043333,0.06254187536242811,0.0007462231504771903,0.001242399438011273,0.06254187536242811,0.0007375713468855414,0.00016143352795217666,0.0633012491255873,0.0007579360147427035,0.00021733561864786694,0.04982025118393708,0.0005955831768696318,0.0009687325229035877,0.04922259802312781,0.0005805882285071636,1.68,0.0
0.046,0.0,5.061988170349927e-05,0.06764864773302295,0.0008112553364036166,0.000583130392301784,0.06631559432204381,0.0007896803672980653,0.0010535754353082248,0.05324180279012163,0.0006278643381240951,5.359793401474922e-05,0.06764864773302295,0.0008112238882651173,0.000471510650623914,0.0655200599034961,0.0007813040009855013,0.0014230752838274774,0.0655200599034961,0.0007713319255858179,0.0001850557536969769,0.06631559432204381,0.0007938499295290998,0.0002492004497299807,0.052192644097457885,0.0006237037017457202,0.001109590294915273,0.05156653126232437,0.0006071735848730494,1.7599999999999998,0.0
0.048,0.0,5.785062041474049e-05,0.07072358626634219,0.0008480755966156642,0.0006642278437812993,0.06932993951850036,0.0008249617095143828,0.0011996601434015588,0.05566188473512717,0.0006552997115978274,6.121312804138352e-05,0.07072358626634219,0.0008480398599879294,0.0005372126956447142,0.06849824444456412,0.0008163208055272825,0.001620324627399472,0.06849824444456412,0.0008049020299288398,0.00021088004172688596,0.06932993951850036,0.0008297386051776405,0.0002840505362622672,0.0545650370109787,0.0006517900387349847,0.0012633642090012212,0.053910464501520934,0.0006336104904792679,1.8399999999999999,0.0
0.05,0.0,6.576377310968237e-05,0.07379852479966141,0.00088488809015096,0.0007524875365789955,0.0723442847149569,0.0008601606824541071,0.0013585461162194347,0.0580819666801327,0.0006825876784407737,6.953790539654019e-05,0.07379852479966141,0.0008848477400594403,0.0006087465456516172,0.07147642898563213,0.0008512705954798489,0.0018348429678419994,0.07147642898563213,0.0008382732522987918,0.00023900532826492632,0.0723442847149569,0.0008656008560787602,0.00032202264443700245,0.056937429924499516,0.000679840552658847,0.001430595399172628,0.0562543977407175,0.0006598924023805953,1.92,0.0
0.052000000000000005,0.0,7.439536976532159e-05,0.07687346333298065,0.0009216923947184516,0.0008482066919505674,0.07535862991141344,0.0008952737084980133,0.0015307470071268716,0.06050204862513823,0.0007097220301070256,7.860824095898207e-05,0.07687346333298065,0.0009216471051310092,0.0006863593187575539,0.07445461352670013,0.0008861504037725823,0.002067320448868931,0.07445461352670013,0.0008714372467062975,0.00026953069131131584,0.07535862991141344,0.0009014354949977821,0.0003632540607404006,0.05930982283802033,0.000707853602323,0.0016118207123923972,0.058598330979914064,0.0006860128269688973,2.0,0.0
0.054,0.0,8.378231397831559e-05,0.07994840186629988,0.0009584880779584148,0.0009516815781118396,0.07837297510786999,0.000930297220991033,0.0017167725917715713,0.06292213057014376,0.0007366966027562026,8.846083462345325e-05,0.07994840186629988,0.0009584375235040908,0.0007702979865336968,0.07743279806776814,0.000920957264988127,0.0023184416407364085,0.07743279806776814,0.0009043857314267905,0.0003025553570193813,0.07837297510786999,0.000937241332998704,0.0004078826104323876,0.06168221575154115,0.000735827540289609,0.0018075725344501529,0.06094226421911063,0.0007119653220806189,2.08,0.0
0.056,0.0,9.396241728444524e-05,0.08302334039961909,0.0009952746970276892,0.0010632074709268499,0.08138732030432651,0.000965227664714576,0.0019171286170657934,0.06534221251514928,0.0007635052790805326,9.91331403544223e-05,0.08302334039961909,0.0009952185547799476,0.0008608093648897498,0.08041098260883613,0.0009556882154676292,0.002588885324068732,0.08041098260883613,0.0009371104916171966,0.0003381787060967511,0.08138732030432651,0.0009730171793676855,0.00045604667550279643,0.06405460866506195,0.0007637607126555548,0.0020183786173986317,0.06328619745830719,0.0007377434990862845,2.1599999999999997,0.0
0.058,0.0,0.00010497443322411527,0.08609827893293831,0.0010320517981878463,0.0011830786146464628,0.08440166550078304,0.0010000614963582744,0.002132316651455914,0.0677622944601548,0.0007901419901170682,0.00011066339509712657,0.08609827893293831,0.0010319897495110067,0.0009581401045913464,0.08338916714990414,0.0009903402934201729,0.002879324275641506,0.08338916714990414,0.000969603381910025,0.000376500280232471,0.08440166550078304,0.0010087618415362356,0.0005078852120840666,0.06642700157858276,0.0007916514588369596,0.0022447619086130993,0.06563013069750374,0.0007633410249612613,2.2399999999999998,0.0
0.06,0.0,0.00011685809114426377,0.08917321746625755,0.001068818916396401,0.001311588182699841,0.08741601069723959,0.0010347951849911175,0.0023628339365284316,0.07018237640516034,0.0008166007170444531,0.00012309064754015842,0.08917321746625755,0.001068750648853925,0.0010625366814018078,0.08636735169097215,0.0010249105390365697,0.003190425056195859,0.08636735169097215,0.0010018563289839676,0.00041761978855063575,0.08741601069723959,0.0010444741250040853,0.0005635377673008247,0.06879939449210358,0.0008194981113602341,0.0024872403815348293,0.06797406393670032,0.0007887516243370467,2.32,0.0
0.062,0.0,0.0001296541297271387,0.09224815599957677,0.00110557557490119,0.001449028238541133,0.09043035589369612,0.0010694252125319553,0.0026091732400007304,0.07260245835016588,0.0008428754929636494,0.00013645478672384324,0.09224815599957677,0.0011055007842244394,0.001174245385835753,0.08934553623204015,0.0010593959946076602,0.0035228478003568194,0.08934553623204015,0.0010338613341101316,0.0004616371140910741,0.09043035589369612,0.0010801528332617459,0.0006231444955370246,0.0711717874056244,0.0008472989956598829,0.0027463268681590693,0.07031799717589687,0.0008139690815323445,2.4,0.0
0.064,0.0,0.00014340433023648833,0.095323094532896,0.0011423212848380264,0.0015956896965537756,0.09344470109015267,0.0011039480742193384,0.002871822710144438,0.0750225402951714,0.000868960404662048,0.0001507965704886692,0.095323094532896,0.001142239676954066,0.0012935123125123094,0.09232372077310816,0.001093793704647269,0.0038772460087281935,0.09232372077310816,0.0010656104756730162,0.0005086523203175693,0.09344470109015267,0.0011157967677127391,0.0006868461741016402,0.07354418031914521,0.0008750524298832983,0.003022528893327267,0.07266193041509345,0.0008389872425632126,2.48,0.0
0.066,0.0,0.00015815154947180514,0.09839803306621522,0.0011790555448317449,0.0017518622830148389,0.0964590462866092,0.0011383602790806652,0.003151265731688732,0.07744262224017694,0.00089484959436039,0.00016615765375803946,0.09839803306621522,0.0011789668379487187,0.0014205833490959275,0.09530190531417616,0.0011281007160199663,0.004254266342235494,0.09530190531417616,0.0010970959116653755,0.0005587656576540399,0.0964590462866092,0.0011514047275954997,0.0007547842182742287,0.07591657323266603,0.0009027567247027726,0.003316348510882676,0.07500586365429,0.0008638000171315529,2.56,0.0
0.068,0.0,0.00017393975242135744,0.10147297159953446,0.001215777840600752,0.0019178344971218857,0.09947339148306575,0.001172658350400611,0.003447980783250445,0.07986270418518246,0.0009205372614419247,0.00018258061664962877,0.10147297159953446,0.001215681767349317,0.001555704164813082,0.09828008985524418,0.0011623140780737792,0.004654548418787686,0.09828008985524418,0.0011283098821561043,0.0006120775700490462,0.09947339148306575,0.0011869755099049404,0.0008271006957120157,0.07828896614618684,0.0009304101831349514,0.003628282141747752,0.07734979689348656,0.0008884013805912466,2.64,0.0
0.07,0.0,0.00019081404460484134,0.10454791013285368,0.001252487644565188,0.002093893572084851,0.10248773667952228,0.0012068388261888047,0.003762441296337298,0.082282786130188,0.0009460176641632507,0.00020010899240963876,0.10454791013285368,0.0012523839541944486,0.0016991201985334073,0.10125827439631219,0.0011964308427779892,0.005078724612327661,0.10125827439631219,0.001159244711730294,0.0006686887015689285,0.10248773667952228,0.0012225079093136787,0.0009039383402005005,0.08066135905970766,0.0009580111003679477,0.0039588204139810726,0.07969373013268313,0.0009127853758912247,2.72,0.0
0.07200000000000001,0.0,0.0002088207040965864,0.10762284866617292,0.001289184415458817,0.00228032543628549,0.10550208187597883,0.0012408982596467278,0.004095115515970053,0.08470286807519353,0.0009712851213462749,0.0002187872951642596,0.10762284866617292,0.0012890728760851593,0.001851076646404111,0.10423645893738019,0.0012304480648661614,0.005527419854340529,0.10423645893738019,0.0011898928119006304,0.000728699903019819,0.10550208187597883,0.001258000718092919,0.000985440564729932,0.08303375197322847,0.0009855577635963357,0.00430844800487074,0.08203766337187969,0.0009369461154947835,2.8000000000000003,0.0
0.074,0.0,0.00022800721322035182,0.11069778719949214,0.0013258675979447466,0.002477414674506986,0.10851642707243536,0.0012748332196337985,0.004446466362968832,0.08712295002019906,0.000996334014050748,0.00023866104748265896,0.11069778719949214,0.0013257479988519345,0.0020118184490267943,0.1072146434784482,0.0012643628019845291,0.006001251437887892,0.1072146434784482,0.001220246683489292,0.0007922122385987094,0.10851642707243536,0.0012934527260329864,0.0010717514738803724,0.08540614488674929,0.0010130484518642323,0.00467764348512052,0.08438159661107626,0.0009608777832744663,2.8800000000000003,0.0
0.076,0.0,0.0002484222899068565,0.11377272573281134,0.001362536622235092,0.002685444489236349,0.11153077226889188,0.0013086402911326187,0.004816951297948277,0.08954303196520456,0.0010211587872268287,0.00025977680774583547,0.11377272573281134,0.0013624087762239443,0.002181590278166116,0.11019282801951617,0.0012981721148458724,0.006500828824235407,0.11019282801951617,0.0012502989189795393,0.000859326992573687,0.11153077226889188,0.001328862720363518,0.0011630158754984401,0.08777853780027008,0.0010404814359166765,0.005066879165184145,0.0867255298502728,0.0009845746363818274,2.9599999999999995,0.0
0.078,0.0,0.0002701159187052948,0.11684766426613057,0.0013991909037146845,0.002904696662042282,0.11454511746534841,0.0013423160757133447,0.005207022187065645,0.0919631139102101,0.0010457539513471419,0.0002821821973156881,0.11684766426613057,0.0013990546495006168,0.002360636522980036,0.11317101256058418,0.0013318730673890168,0.007026753452139982,0.11317101256058418,0.0012800422048361852,0.000930145675993392,0.11454511746534841,0.0013642294856732967,0.0012593792916492051,0.09015093071379089,0.0010678549780595095,0.005476620943802473,0.08906946308946936,0.0010080310070914227,3.0399999999999996,0.0
0.08,0.0,0.0002931393814402023,0.1199226027994498,0.0014358298425689341,0.0031354515150312443,0.11755946266180496,0.0013758571919971522,0.005617125169565325,0.09438319585521562,0.0010701140840177997,0.00030592592749867137,0.1199226027994498,0.0014356850472256094,0.0025492012757616965,0.1161491971016522,0.001365462726944066,0.007579618549862,0.1161491971016522,0.0013094693237941466,0.0010047700334256762,0.11755946266180496,0.0013995518038297388,0.0013609879688271055,0.09252332362731171,0.00109516733202795,0.005907328158797317,0.09141339632866594,0.0010312413046183616,3.1199999999999997,0.0
0.082,0.0,0.00031754528750514867,0.12299754133276902,0.0014724528234159458,0.0033779878723844696,0.1205738078582615,0.001409260276118763,0.006047700527162676,0.09680327780022116,0.0010942338315678701,0.00033105782629842345,0.12299754133276902,0.0014722993848632442,0.002747528317183321,0.1191273816427202,0.001398938164403502,0.008160008949967008,0.1191273816427202,0.0013385731571142984,0.001083302049725379,0.1205738078582615,0.0014348284538980298,0.0014679888874101514,0.09489571654083252,0.001122416742864065,0.006359453440174968,0.0937573295678625,0.0010542000169087822,3.1999999999999997,0.0
0.084,0.0,0.0003433876037848522,0.12607247986608824,0.001509059214942997,0.003632583021978772,0.12358815305471804,0.0014425219821880028,0.006499182555309417,0.09922335974522668,0.001118107910616768,0.00035762886495177326,0.12607247986608824,0.001508897064477478,0.0029558611010328337,0.1221055661837882,0.0014322964543992587,0.008768500906980274,0.1221055661837882,0.0013673466868058543,0.0011658439568310649,0.12358815305471804,0.001470058212059912,0.0015805297703421,0.09726810945435334,0.0011496014468033184,0.006833442565591569,0.09610126280705907,0.0010769017124026092,3.28,0.0
0.08600000000000001,0.0,0.0003707216841974297,0.1291474183994075,0.0015456483695474718,0.0038995126770939997,0.1266024982511746,0.0014756389827503499,0.006971999436382207,0.10164344169023222,0.0011417311096190736,0.00038569118424255325,0.1291474183994075,0.0015454774744134685,0.003174442738434248,0.12508375072485622,0.0014655346754858807,0.009405661917956628,0.12508375072485622,0.0013957829978145113,0.0012524982405904999,0.1266024982511746,0.0015052398515321224,0.0016987590910276956,0.09964050236787415,0.0011767196711703846,0.0073297343182316035,0.09844519604625562,0.0010993410417679686,3.36,0.0
0.088,0.0,0.00039960429884861547,0.13222235693272671,0.0015822196229823514,0.0041790509382100575,0.1296168434476311,0.0015086079692464452,0.007466573114835344,0.10406352363523776,0.0011650982903862667,0.00041529812058766576,0.13222235693272671,0.00158203998898181,0.0034035159815432045,0.12806193526592421,0.0014986499103298797,0.010072050546026922,0.12806193526592421,0.0014238752801756112,0.001343367647614569,0.1296168434476311,0.0015403721424844872,0.001822826080426504,0.10201289528139497,0.0012037696342844073,0.007848760347149897,0.1007891292854522,0.0011215127396066473,3.44,0.0
