t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_uniform_close,input_uniform_diff,object_adaptive_sphere_x,object_adaptive_sphere_y,object_adaptive_sphere_z
0.04,2.0,119.99998317066202,2.1196121344030044e-05,0.1688888888888889,0.0010132234431219358,0.00048590335831901474,0.1688888888888889,0.0010108453935590788,0.0013896292253371295,0.1688888888888889,0.0010062122195234856,2.302882449177462e-05,0.1688888888888889,0.0010132131563900088,0.00048421068825500236,0.1688888888888889,0.0010108548981926768,0.0013895595253736815,0.1688888888888889,0.0010062126090578075,2.7530825701677647e-05,0.1688888888888889,0.0010131925747949603,0.00048004255871666296,0.1688888888888889,0.0010108739552713345,0.0013893926896871467,0.1688888888888889,0.0010062133709797033,1.52,0.0,0.04903754011066354,0.12500001863083812,0.07850031135990891
0.042,2.0,119.99998317110956,2.4380338148411822e-05,0.17777777777777778,0.0010665394899386025,0.0005648641666322719,0.17777777777777778,0.0010637512465167527,0.0016142043080534909,0.17777777777777778,0.001058328891314644,2.63314889103292e-05,0.17777777777777778,0.0010665284937197161,0.0005630628947686533,0.17777777777777778,0.0010637614025371367,0.0016141297593840539,0.17777777777777778,0.0010583293095144247,3.205728784102154e-05,0.17777777777777778,0.0010665014817124567,0.000557762310430815,0.17777777777777778,0.0010637864113143666,0.0016139173183728843,0.17777777777777778,0.0010583303105285438,1.6,0.0,0.04914804527147889,0.12500002305603417,0.07850038514860815
0.044,2.0,119.99998317159103,2.7888987542409116e-05,0.18666666666666668,0.0011198537179711095,0.0006519313219827752,0.18666666666666668,0.0011166108150002065,0.0018616720467747505,0.18666666666666668,0.0011103147741516792,2.9959361997732045e-05,0.18666666666666668,0.0011198420110665381,0.000650020887010395,0.18666666666666668,0.0011166216226313882,0.0018615925528329333,0.18666666666666668,0.0011103152214436958,3.70658155819818e-05,0.18666666666666668,0.001119807656272954,0.0006434429980196146,0.18666666666666668,0.0011166534261374153,0.0018613285314032187,0.18666666666666668,0.0011103164960897629,1.6800000000000002,0.0,0.04924594977794477,0.12500002802541954,0.07850046800650419
0.046,2.0,119.9999831721112,3.174328250522201e-05,0.19555555555555554,0.0011731659994080787,0.0007474974750118567,0.19555555555555554,0.0011694217454014367,0.0021331234398123677,0.19555555555555554,0.0011621633010526846,3.3934081867947436e-05,0.19555555555555554,0.0011731535771613468,0.0007454769316689763,0.19555555555555554,0.0011694332080112709,0.0021330388841752372,0.19555555555555554,0.0011621637780163355,4.258358498933192e-05,0.19555555555555554,0.0011731109384398412,0.0007374718677279259,0.19555555555555554,0.0011694726753452157,0.0021327170557685357,0.19555555555555554,0.0011621653621449138,1.76,0.0,0.04933268343118623,0.12500003355927067,0.07850056027352567
0.048,2.0,119.99998317267327,3.5964448351056175e-05,0.20444444444444446,0.0012264762069716356,0.0008519555793914085,0.20444444444444446,0.0012221816818165957,0.002429645812071745,0.20444444444444446,0.0012138679260277926,3.827717560889703e-05,0.20444444444444446,0.0012264630621754591,0.0008498237127819912,0.20444444444444446,0.0012221938050766528,0.0024295560629971815,0.20444444444444446,0.0012138684333616154,4.863830025254787e-05,0.20444444444444446,0.001226411165156731,0.0008402360044673727,0.20444444444444446,0.0012222418354602992,0.002429169920271314,0.20444444444444446,0.0012138703643320556,1.8400000000000003,0.0,0.04940951436287689,0.12500003967991616,0.07850066232386542
0.05,2.0,119.99998317328027,4.0573808189800286e-05,0.21333333333333332,0.0012797842133098936,0.000965698826642833,0.21333333333333332,0.0012748882665236515,0.002752322641538173,0.21333333333333332,0.0012654221251275695,4.3010168339990876e-05,0.21333333333333332,0.0012797703369463466,0.000963454244729293,0.21333333333333332,0.0012749010577233078,0.0027522275556192055,0.21333333333333332,0.0012654226636220167,5.525821846634715e-05,0.21333333333333332,0.0012797081701984847,0.0009521223233415517,0.21333333333333332,0.0012749585839731958,0.002751770284041565,0.21333333333333332,0.0012654249804783721,1.92,0.0,0.049477567268818926,0.12500004641148654,0.07850077456186688
0.052000000000000005,2.0,119.9999831739361,4.5592855655422675e-05,0.2222222222222222,0.0013330898904841944,0.0010891205925504573,0.2222222222222222,0.0013275391403734763,0.003102233386895708,0.2222222222222222,0.0013168193974841041,4.815467579045473e-05,0.2222222222222222,0.0013330752723232934,0.0010867618002818463,0.2222222222222222,0.0013275526078649574,0.0031021328119741893,0.2222222222222222,0.001316819967999618,6.247217436155759e-05,0.2222222222222222,0.0013330017840225352,0.0010735175610584622,0.2222222222222222,0.001327620599393284,0.003101597265701088,0.2222222222222222,0.001316822711629084,2.0,0.0,0.04953783958990141,0.12500005377971482,0.07850089741874906
0.054,2.0,119.99998317464369,5.104331735228143e-05,0.23111111111111116,0.0013863931095327345,0.0012226143928976236,0.23111111111111116,0.0013801319431113643,0.0034804533162157212,0.23111111111111116,0.0013680532663452925,5.3732483311397244e-05,0.23111111111111116,0.0013863777386119243,0.001220139851007456,0.23111111111111116,0.001380146095864976,0.003480347093679836,0.23111111111111116,0.0013680538697948218,7.030960498454329e-05,0.23111111111111116,0.0013862918336204975,0.0012048082672247206,0.23111111111111116,0.001380225561300316,0.0034797257732058187,0.23111111111111116,0.0013680570830724604,2.0800000000000005,0.0,0.04959121587119451,0.125000061811778,0.07850103135001578
0.056,2.0,119.99998317540641,5.694720698581034e-05,0.24,0.0014396937400958862,0.00136657384670078,0.24,0.0014326643136426142,0.003888053336670004,0.24,0.0014191172801027057,5.976561373229099e-05,0.24,0.0014396776051001316,0.0013639820177987995,0.24,0.0014326791608939551,0.0038879413032430494,0.24,0.001419117917437921,7.880057432348743e-05,0.24,0.0014395781423700927,0.0013463807955161036,0.24,0.0014327711503966517,0.0038872263343954234,0.24,0.001419121645360765,2.16,0.0,0.049638480504021046,0.1250000705361722,0.07850117683342314
0.058,2.0,119.99998317622756,6.33268727580144e-05,0.2488888888888889,0.0014929916500914186,0.0015213926454737034,0.2488888888888889,0.0014851338902531288,0.004326099825237767,0.2488888888888889,0.0014700050133133135,6.627638605358747e-05,0.2488888888888889,0.0014929747396509397,0.0015186820296762334,0.2488888888888889,0.0014851494412265406,0.0043259818143499135,0.2488888888888889,0.0014700056855138752,8.79757978799076e-05,0.2488888888888889,0.0014928605298873926,0.0014986212947189427,0.2488888888888889,0.0014852550485602368,0.004325164928279159,0.2488888888888889,0.0014700099753269609,2.24,0.0,0.04968032903283913,0.12500007998261506,0.07850133436740259
0.06,2.0,119.99998317710968,7.020503930031979e-05,0.2577777777777778,0.0015462867054301186,0.0016874645273385644,0.2577777777777778,0.0015375383107938245,0.004795654460387367,0.2577777777777778,0.0015207100677152399,7.328746661791922e-05,0.2577777777777778,0.001546269008350345,0.0016846336893405333,0.2577777777777778,0.001537554574488609,0.004795530303208007,0.2577777777777778,0.0015207107757805672,9.786666718385836e-05,0.2577777777777778,0.0015461388118793874,0.0016619156996368616,0.2577777777777778,0.0015376749388983529,0.004794602817086888,0.2577777777777778,0.0015207156770969917,2.3200000000000003,0.0,0.04971737818834433,0.12500009018197042,0.07850150446985535
0.062,2.0,119.99998317805736,7.76048451697402e-05,0.2666666666666667,0.0015995787697641983,0.0018651832550284808,0.2666666666666667,0.0015898752128359688,0.005297774054722793,0.2666666666666667,0.0015712260732376761,8.082191411258156e-05,0.2666666666666667,0.0015995602752002928,0.0018622308442184567,0.2666666666666667,0.0015898921978639573,0.005297643580918641,0.2666666666666667,0.0015712268181807523,0.00010850527425135802,0.2666666666666667,0.0015994127999968972,0.0018366497218573277,0.2666666666666667,0.0015900285058021793,0.005296596379114,0.2666666666666667,0.001571232383097479,2.4000000000000004,0.0,0.04975017479006675,0.12500010116619106,0.07850168767725006
0.064,2.0,119.99998317907352,8.55498767365163e-05,0.27555555555555555,0.001652867704262315,0.002054942597009042,0.27555555555555555,0.0016421422338031625,0.005833510388592252,0.27555555555555555,0.0016215466890049965,8.890321951610326e-05,0.27555555555555555,0.001652848401848658,0.0020518673619656785,0.27555555555555555,0.0016421599482680227,0.005833373426865553,0.27555555555555555,0.0016215474718478213,0.00011992443598266222,0.27555555555555555,0.001652682301687825,0.002023208840372457,0.27555555555555555,0.0016423134350021895,0.005832196942388831,0.27555555555555555,0.0016215537550586493,2.48,0.0,0.04977920364564124,0.1250001129682762,0.07850188454396761
0.066,2.0,119.99998318016199,9.406419913292766e-05,0.28444444444444444,0.0017061533674062475,0.0022571363110927786,0.28444444444444444,0.0016943370110846124,0.0064039100446620575,0.28444444444444444,0.0016716656043351131,9.755534190298567e-05,0.28444444444444444,0.0017061332473495702,0.0022539371095752986,0.28444444444444444,0.0016943554624948727,0.006403766423114001,0.28444444444444444,0.0016716664261054732,0.00013215771850009613,0.28444444444444444,0.0017059471200507705,0.0022219782920484825,0.28444444444444444,0.0016945274136244322,0.006402450619191035,0.28444444444444444,0.0016716734850123337,2.56,0.0,0.049804894559638574,0.12500012562224086,0.07850209564184742
0.068,2.0,119.99998318132643,0.00010317238480523174,0.2933333333333334,0.0017594356148052028,0.0024721581300386503,0.2933333333333334,0.0017464571821334438,0.007010014243463688,0.2933333333333334,0.001721576539732028,0.00010680274085699809,0.2933333333333334,0.0017594146679485825,0.0024688339353914077,0.2933333333333334,0.0017464763773425488,0.007009863789820226,0.2933333333333334,0.0017215774014613162,0.00014523946142424928,0.2933333333333334,0.0017592070536889997,0.0024333430619382732,0.2933333333333334,0.0017466681302477094,0.007008398141449212,0.2933333333333334,0.0017215852962848542,2.6400000000000006,0.0,0.04982762855215931,0.12500013916309496,0.07850232155989836
0.07,2.0,119.99998318257116,0.00011289954010773733,0.3022222222222222,0.001812714299024502,0.002700401748723816,0.3022222222222222,0.0017985003845531016,0.007652858679925628,0.3022222222222222,0.0017712732478725511,0.00011667040610860018,0.3022222222222222,0.0018126925168881914,0.0026969516534518095,0.3022222222222222,0.0017985203297209847,0.007652701221656205,0.3022222222222222,0.0017712741505944121,0.00015920480208743266,0.3022222222222222,0.001812461896564788,0.0026576878734312476,0.3022222222222222,0.0017987332749617039,0.0076510746970459,0.3022222222222222,0.0017712829444846382,2.72,0.0,0.04984774337613067,0.12500015362683045,0.07850256290414359
0.07200000000000001,2.0,119.99998318390047,0.00012327133029522964,0.3111111111111111,0.0018659892694260203,0.0029422608125515112,0.3111111111111111,0.0018504642561743237,0.008333473360904555,0.3111111111111111,0.0018207495145871131,0.00012718388490085233,0.3111111111111111,0.0018659666442300152,0.0029386840296868116,0.3111111111111111,0.001850484956745956,0.008333308725258698,0.3111111111111111,0.0018207504593367296,0.00017408969968339726,0.3111111111111111,0.0018657114378541422,0.0028953971782350097,0.3111111111111111,0.0018507205394260793,0.008331509767057916,0.3111111111111111,0.0018207602184843914,2.8000000000000003,0.0,0.04986553841224934,0.12500016905041436,0.07850282029757456
0.074,2.0,119.99998318531932,0.0001343140032029148,0.32000000000000006,0.001919260372018229,0.003198128906820881,0.32000000000000006,0.0019023464351246913,0.009052882443732821,0.32000000000000006,0.001869999159834573,0.00013836930749695856,0.32000000000000006,0.0019192368966905954,0.0031944247695853308,0.32000000000000006,0.0019023678958218794,0.009052710457714821,0.32000000000000006,0.001870000147648448,0.00018993095935241516,0.32000000000000006,0.0019189554618018999,0.00314685514618299,0.32000000000000006,0.0019026276169305904,0.009050726963959824,0.32000000000000006,0.0018700109413976528,2.880000000000001,0.0,0.049881279011639024,0.12500018547178726,0.0785030943801944
