t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt,object_adaptive_box_x,object_adaptive_box_y,object_adaptive_box_z
0.046,5.0,0.0,3.441790919214438e-06,0.05411891818641837,0.0003247010244110303,0.00024883834648018404,0.05305247545763506,0.000317007068056996,0.00042347258387793703,0.04259344223209731,0.00025334299434378747,2.1175904975040875e-05,0.05411891818641837,0.0003246027843440505,0.00018864666214571645,0.05241604792279689,0.0003135087432540921,0.0005712779095765171,0.05241604792279689,0.00031150478724059904,7.397006409391666e-05,0.05305247545763506,0.0003179276605860271,9.947242585218595e-05,0.04175411527796631,0.0002500040753543475,0.0004454768041255191,0.0412532250098595,0.0002451865868994511,1.408,0.0,0.047546650356838895,0.12499958872074321,0.07850058460486703
0.048,5.0,0.0,5.050502560892367e-06,0.056578869013073754,0.00033945256333292725,0.00028246922421611283,0.05546395161480029,0.0003312906796099206,0.000482307890679135,0.04452950778810173,0.0002646362112253428,2.4156549272663554e-05,0.056578869013073754,0.0003393461586485923,0.00021493828246346868,0.054798595555651294,0.00032765969336103347,0.0006506860249435604,0.054798595555651294,0.0003253639058764487,8.428675784413337e-05,0.05546395161480029,0.00033233988930423823,0.00011336112054012492,0.04365202960878296,0.0002613153430975847,0.0005073936423972427,0.04312837160121675,0.0002560973687825474,1.472,0.0,0.04767241720710661,0.12499955231669223,0.07850062811762228
0.05,5.0,0.0,6.919283767961994e-06,0.05903881983972914,0.0003542026160230095,0.00031897777887778157,0.057875427771965526,0.0003455577512864965,0.000546331021784091,0.04646557334410616,0.00027589959272056216,2.740863395742227e-05,0.05903881983972914,0.00035408797974273887,0.00024356476124142923,0.0571811431885057,0.0003417972294362534,0.0007370978239976543,0.0571811431885057,0.00033918274298137287,9.552137163994849e-05,0.057875427771965526,0.00034674684608472836,0.00012848900169972288,0.045549943939599616,0.0002726194969143569,0.0005747703538613826,0.045003518192574005,0.0002669767473010606,1.536,0.0,0.04779818405737433,0.12499951591264125,0.07850067163037752
0.052000000000000005,5.0,0.0,9.060668293921097e-06,0.06149877066638452,0.00036895110829569935,0.00035848485885351555,0.060286903929130754,0.00035980755690151787,0.000615756481572451,0.04840163890011059,0.000287131847269959,3.094487129464272e-05,0.06149877066638452,0.0003688281721945626,0.00027462526036609237,0.05956369082136011,0.00035592075636071204,0.0008308023153142354,0.05956369082136011,0.00035295955798417473,0.000107713197367928,0.060286903929130754,0.00036114829534494484,0.00014490970981602633,0.04744785827041627,0.0002839162156122993,0.0006478320473046061,0.046878664783931254,0.00027782336658041924,1.6,0.0,0.047923950907642045,0.12499947950859026,0.07850071514313277
0.054,5.0,0.0,1.1487366548963627e-05,0.0639587214930399,0.00038369796494847584,0.00040111112217286124,0.06269838008629598,0.0003740393713646548,0.0006907979870134288,0.05033770445611501,0.0002983316878472554,3.4778119819759364e-05,0.0639587214930399,0.00038356665973047154,0.00030821891575081217,0.061946238454214514,0.00037002967916309053,0.0009320873750920598,0.061946238454214514,0.00036669261683340164,0.00012090155628762869,0.06269838008629598,0.00037554400133356835,0.00016267699809258989,0.04934577260123292,0.0002952051773485014,0.000726802924603693,0.0487538113752885,0.0002886358759679034,1.6640000000000001,0.0,0.04804971775790976,0.12499944310453928,0.07850075865588801
0.056,5.0,0.0,1.421227274143734e-05,0.06641867231969528,0.0003984431097188779,0.0004469770286316093,0.06510985624346122,0.00038825247072773013,0.0007716684359159635,0.05227377001211943,0.000309497832150636,3.8921390317328496e-05,0.06641867231969528,0.00039830336519925313,0.0003444448359467673,0.0643287860870689,0.0003841234030279086,0.001041239701591856,0.0643287860870689,0.00038038019227186107,0.00013512580027954531,0.06510985624346122,0.0003899337281230415,0.00018184473669213312,0.051243686932049566,0.0003064860596037419,0.000811906244282934,0.05062895796664575,0.0002994129302522524,1.728,0.0,0.04817548460817748,0.1249994067004883,0.07850080216864326
0.058,5.0,0.0,1.724847199360137e-05,0.06887862314635065,0.00041318646524165527,0.0004962028319215427,0.06752133240062644,0.00040244613223196896,0.0008585798753098588,0.05420983556812385,0.0003206290027932473,4.338785178576198e-05,0.06887862314635065,0.0004130382105361999,0.0003834021007164481,0.06671133371992331,0.0003982013333038593,0.0011585447697741304,0.06671133371992331,0.0003940205641099888,0.00015042531309592374,0.06752133240062644,0.00040431723960208135,0.00020246691692139135,0.05314160126286622,0.00031775853915704455,0.0009033642852367688,0.052504104558003,0.0003101531898823204,1.792,0.0,0.048301251458445195,0.12499937029643732,0.0785008456813985
0.06,0.0,0.0,2.060924743067863e-05,0.07133857397300604,0.0004279279530060747,0.0005489085717651088,0.06993280855779167,0.00041661963435522077,0.0009517434699630582,0.05614590112412828,0.00033172392749291057,4.8190837387204456e-05,0.07133857397300604,0.0004277711167273217,0.00042518975956823825,0.06909388135277772,0.0004122628755123676,0.0012842867861439457,0.06909388135277772,0.00040761201949802154,0.00016683951161453433,0.06993280855779167,0.00041869429946817454,0.0002245976553580113,0.05503951559368287,0.00032902229206056887,0.0010013983106241448,0.05437925114936026,0.00032085532118474096,1.856,0.0,0.04842701830871291,0.12499933389238634,0.07850088919415375
0.062,0.0,0.0,2.4308087242202915e-05,0.07379852479966141,0.0004426674933133844,0.0006052140660552138,0.0723442847149569,0.0004307722568591507,0.0010513694710401888,0.0580819666801327,0.00034278133926101783,5.334385038197722e-05,0.07379852479966141,0.00044250200377364524,0.0004699068302506756,0.07147642898563213,0.0004263074353563834,0.0014187486438104592,0.07147642898563213,0.00042115285319692906,0.0001844078470954965,0.0723442847149569,0.0004330646712200542,0.0002482911979173587,0.056937429924499516,0.000340276993614849,0.0011062285319410477,0.0562543977407175,0.00033151799658056013,1.92,0.0,0.04855278515898063,0.12499929748833535,0.078500932706909
0.064,0.0,0.0,2.835869171466574e-05,0.0762584756263168,0.00045740500523444756,0.0006652389030003416,0.07475576087212213,0.0004449032808364015,0.0011576671849074837,0.06001803223613712,0.0003537999765905816,5.8860570047012946e-05,0.0762584756263168,0.00045723079065560895,0.0005176522972049907,0.07385897661848653,0.00044033441872941514,0.0015622118777689647,0.07385897661848653,0.0004346413678480564,0.0002031698064412429,0.07475576087212213,0.0004474281181501598,0.00027360192385712,0.05883534425531617,0.00035152231834439284,0.0012180740732776185,0.05812954433207475,0.00034213989480080223,1.984,0.0,0.048678552009248345,0.12499926108428437,0.07850097621966425
0.066,0.0,0.0,3.277498023447324e-05,0.07871842645297218,0.0004721404065675451,0.000729102433275198,0.07716723702928736,0.00045901198875772213,0.0012708449420891666,0.061954097792141546,0.0003647785836434044,6.475485757770599e-05,0.07871842645297218,0.000471957395297551,0.0005685251099745332,0.07624152425134094,0.0004543432317248157,0.0017149566204131463,0.07624152425134094,0.0004480758742414319,0.00022316491345970865,0.07716723702928736,0.00046178440333707676,0.00030058434971759804,0.06073325858613282,0.0003627579399736542,0.001337152935766243,0.060004690923432004,0.0003527197011009263,2.048,0.0,0.04880431885951606,0.12499922468023339,0.07850101973241949
0.068,0.0,0.0,3.757109826022898e-05,0.08117837727962757,0.00048687361379635855,0.0007969237621770847,0.0795787131864526,0.0004730976645190644,0.001391110066380357,0.06389016334814597,0.00037571591043634084,7.104076197260391e-05,0.08117837727962757,0.00048668173453229917,0.000622624181569711,0.07862407188419535,0.0004683332806453249,0.0018772615572852096,0.07862407188419535,0.0004614546915826932,0.00024443273013082775,0.0795787131864526,0.00047613328963795734,0.00032929313319561814,0.06263117291694947,0.0003739835314033913,0.001463681962226958,0.06187983751478925,0.00036325610747413805,2.112,0.0,0.04893008570978378,0.12499918827618241,0.07850106324517474
0.07,0.0,0.0,4.2761424263364254e-05,0.08363832810628295,0.0005016045420481363,0.0008688217417882073,0.08199018934361783,0.0004871595934886445,0.001518668844121527,0.0658262289041504,0.0003866107130266202,7.773252590036656e-05,0.08363832810628295,0.000501403724065862,0.0006800483867870798,0.08100661951704975,0.0004823039720128803,0.002049403883071511,0.08100661951704975,0.00047477614775858726,0.00026701285787641624,0.08199018934361783,0.000490474539680922,0.00035978307694997864,0.06452908724776613,0.0003851987646874231,0.0015978768020164886,0.06375498410614651,0.0003737478128635173,2.176,0.0,0.049055852560051495,0.12499915187213143,0.07850110675792998
0.07200000000000001,0.0,0.0,4.8360576636143184e-05,0.08609827893293834,0.0005163331050520499,0.0009449149631441237,0.08440166550078307,0.0005011970625539692,0.0016537264936395133,0.06776229446015482,0.0003974617536961998,8.484459154842021e-05,0.08609827893293834,0.0005161232784422279,0.0007408965604812385,0.08338916714990416,0.0004962547125787025,0.0022316592578512664,0.08338916714990416,0.0004880385796009959,0.00029094493883351805,0.08440166550078307,0.0005048079158574399,0.00039210913233639864,0.06642700157858278,0.00039640331100979683,0.0017399518760871885,0.06563013069750376,0.00038419352337292357,2.24,0.0,0.04918161941031921,0.12499911546808044,0.07850115027068523
0.074,0.0,0.0,5.4383420566076144e-05,0.08855822975959371,0.0005310592150977455,0.001025321748408541,0.08681314165794829,0.000515209360168825,0.0017964871348600637,0.06969836001615924,0.0004082678011351184,9.239160645273473e-05,0.08855822975959371,0.0005308403110082717,0.0008052674957881956,0.08577171478275857,0.000510184909333664,0.0024243017636058728,0.08577171478275857,0.0005012403331494438,0.00031626865713128605,0.08681314165794829,0.0005191331803146887,0.0004263264030699351,0.06832491590939943,0.00040759684066237823,0.0018901203422621166,0.06750527728886101,0.0003945919524766429,2.3040000000000003,0.0,0.04930738626058693,0.12499907906402946,0.07850119378344048
0.076,0.0,0.0,6.084507487578107e-05,0.09101818058624908,0.000545782782994098,0.0011101601430546703,0.08922461781511351,0.0005291957764002298,0.0019471537590968588,0.07163442557216367,0.0004190276306238216,0.00010038842930815305,0.09101818058624908,0.0005455547338787781,0.0008732599422988929,0.08815426241561294,0.0005240939695189485,0.002627603860996326,0.08815426241561294,0.0005143797639120424,0.000343023740171468,0.08922461781511351,0.0005334500949478934,0.000462490148812859,0.07022283024021607,0.00041877902302287683,0.0020485940607324485,0.06938042388021824,0.00040494182122773677,2.368,0.0,0.049433153110854645,0.12499904265997848,0.07850123729619572
0.078,0.0,0.0,6.776091882733869e-05,0.09347813141290447,0.0005605037180281721,0.0011995479080533513,0.09163609397227875,0.0005431556029753445,0.00210592819902193,0.07357049112816809,0.00042974002421442735,0.00010885013575870314,0.09347813141290447,0.0005602664579015779,0.0009449726041815842,0.09053681004846735,0.0005379813006370107,0.002841836346416177,0.09053681004846735,0.0005274552371248262,0.00037124995991256305,0.09163609397227875,0.0005477584213926437,0.0005006557886860029,0.07212074457103272,0.00042994952653331917,0.0022155835597833743,0.0712555704715755,0.0004152418584650584,2.432,0.0,0.04955891996112236,0.1249990062559275,0.07850128080895097
0.08,0.0,0.0,7.514659889019429e-05,0.09593808223955985,0.0005752219279243951,0.0012936025120681574,0.09404757012944398,0.0005570881333283438,0.0022730110988223562,0.07550655668417251,0.0004404037709109035,0.00011779202416732359,0.09593808223955985,0.0005749753926228069,0.0010205041382517852,0.09291935768132176,0.000551846310462841,0.0030672683093274163,0.09291935768132176,0.0005404651280094335,0.0004009871341577114,0.09404757012944398,0.0005620579210171885,0.0005408789047016106,0.07401865890184937,0.0004411080186789802,0.002391298001754591,0.07313071706293275,0.0004254908010188963,2.496,0.0,0.04968468681139008,0.12499896985187652,0.07850132432170621
0.082,0.0,0.0,8.30180354716651e-05,0.09839803306621522,0.0005899373188039502,0.0013924411236576997,0.0964590462866092,0.0005709926626472463,0.002448601884548095,0.07744262224017694,0.00045101766684812745,0.00012722962136443516,0.09839803306621522,0.0005896814462522874,0.001099953151988528,0.09530190531417616,0.0005656884070555462,0.0033041670898866205,0.09530190531417616,0.0005534078220290925,0.0004322751278463756,0.0964590462866092,0.0005763483549147089,0.0005832152451157412,0.07591657323266603,0.00045225416596778647,0.0025759451492414643,0.07500586365429,0.00043568739391521244,2.56,0.0,0.049810453661657796,0.12499893344782553,0.07850136783446146
