t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_1,qref_joint_1,tau_joint_1,input_sigma,input_sigma_diff
0.17,0.0,0.0,0.057918068872633045,0.5365341499174582,0.005768035301061566,0.14539049567573023,0.5300977847253922,0.004673359835403171,6.3,0.0
0.17200000000000001,0.0,0.0,0.060021816527640104,0.5429214612259994,0.005820040708240396,0.15022181913180205,0.5364084726387897,0.004692215723556713,6.375,0.0
0.17400000000000002,0.0,0.0,0.06217640339915642,0.5493087725345406,0.005871443472082806,0.15514525027737675,0.5427191605521872,0.004709968097044622,6.45,0.0
0.176,0.0,0.0,0.06438244763794371,0.5556960838430818,0.005922236165327104,0.16016091003025726,0.5490298484655847,0.004726615178258495,6.525,0.0
0.178,0.0,0.0,0.0666405665108275,0.5620833951516229,0.00597241137016415,0.16526889209977005,0.5553405363789822,0.0047421555161847,6.6,0.0
0.18,0.0,0.0,0.06895137630224445,0.568470706460164,0.006021961679392038,0.17046926300379747,0.5616512242923797,0.004756587986311316,6.674999999999999,0.0
0.182,0.0,0.0,0.07131549221357864,0.5748580177687052,0.006070879697597529,0.17576206209507544,0.5679619122057772,0.004769911790423756,6.749999999999999,0.0
0.184,0.0,0.0,0.07373352826030632,0.5812453290772464,0.006119158042364014,0.18114730159674058,0.5742726001191747,0.004782126456289191,6.824999999999999,0.0
0.186,0.0,0.0,0.07620609716696936,0.5876326403857876,0.006166789345505775,0.18662496664710707,0.5805832880325723,0.004793231837229981,6.8999999999999995,0.0
0.188,0.0,0.0,0.07873381025999912,0.5940199516943288,0.006213766254328313,0.19219501535365038,0.5868939759459698,0.0048032281115863535,6.975,0.0
0.19,0.0,0.0,0.08131727735841372,0.60040726300287,0.00626008143291445,0.19785737885617197,0.5932046638593673,0.004812115782068604,7.05,0.0
0.192,0.0,0.0,0.08395710666241245,0.606794574311411,0.006305727563435968,0.20361196139911483,0.5995153517727649,0.004819895674999116,7.125,0.0
0.194,0.0,0.0,0.08665390463989266,0.6131818856199522,0.006350697347490478,0.2094586404129975,0.6058260396861623,0.00482656893944457,7.199999999999999,0.0
0.196,0.0,0.0,0.0894082759109155,0.6195691969284934,0.006394983507463209,0.2153972666049299,0.61213672759956,0.004832137046238749,7.2749999999999995,0.0
0.198,0.0,0.0,0.09222082313014787,0.6259565082370345,0.0064385787879134284,0.2214276640581717,0.6184474155129575,0.004836601786896331,7.35,0.0
0.2,0.0,0.0,0.09509214686730927,0.6323438195455757,0.006481475956985134,0.22754963034069045,0.624758103426355,0.004839965272418199,7.425,0.0
0.202,0.0,0.0,0.09802284548565338,0.6387311308541169,0.006523667807841692,0.23376293662267292,0.6310687913397526,0.004842229931988746,7.5,0.0
0.20400000000000001,0.0,0.0,0.10101323295590997,0.6387311308541169,0.006488499424421562,0.24006652223105657,0.6310687913397526,0.004767670256604956,7.5,0.0
0.20600000000000002,0.0,0.0,0.1040633387203938,0.6387311308541169,0.006452614774778483,0.24645849491090047,0.6310687913397526,0.004692027229304352,7.5,0.0
0.20800000000000002,0.0,0.0,0.10717318959678424,0.6387311308541169,0.006416013505604677,0.2529369369196217,0.6310687913397526,0.004615323557146226,7.5,0.0
0.21,0.0,0.0,0.11034280960696084,0.6387311308541169,0.0063786952950879924,0.2594999056840772,0.6310687913397526,0.00453758225304157,7.5,0.0
0.212,0.0,0.0,0.11357221980411634,0.6387311308541169,0.006340659854965873,0.2661454344660546,0.6310687913397526,0.004458826627868105,7.5,0.0
0.214,0.0,0.0,0.11686143809823468,0.6387311308541169,0.006301906932600007,0.27287153303593,0.6310687913397526,0.004379080282484376,7.5,0.0
0.216,0.0,0.0,0.12021047908002289,0.6387311308541169,0.006262436313070587,0.27967618835424707,0.6310687913397526,0.004298367099645871,7.5,0.0
0.218,0.0,0.0,0.12361935384338653,0.6387311308541168,0.006222247821289127,0.2865573652609698,0.6310687913397525,0.004216711235826065,7.499999999999999,0.0
0.22,0.0,0.0,0.1270880698065395,0.638731130854117,0.006181341324128766,0.29351300717215756,0.6310687913397526,0.004134137112945393,7.500000000000001,0.0
