t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt
0.04,0.0,0.0,1.2915987074378767e-05,0.04673906570645223,0.00028036830840305334,0.00015209484756809657,0.04581804698613937,0.0002741289987371556,0.00027545940194841675,0.036785245564084045,0.0002192999006422888,1.3737559865083175e-05,0.04673906570645223,0.000280364084619623,0.00012278897166392679,0.045268405024233675,0.00027098136198441396,0.00037216955627450676,0.045268405024233675,0.0002697032398603651,4.813499871592719e-05,0.04581804698613937,0.0002746616962555377,6.47066560071318e-05,0.03606037228551636,0.0002160307912809403,0.0002902216066365238,0.03562778523578775,0.00021227945349912755,1.216,0.0
0.042,0.0,0.0,1.502770711045234e-05,0.04919901653310761,0.00029511660327619945,0.00017670413251681238,0.0482295231433046,0.00028846456977441905,0.0003199788647149315,0.03872131112008847,0.0002306751103088403,1.597878386103605e-05,0.04919901653310761,0.0002951116738394552,0.00014267122756254748,0.04765095265708808,0.0002851689821125449,0.0004323113084176904,0.04765095265708808,0.00028367269860488147,5.593340858057513e-05,0.0482295231433046,0.00028908832886753206,7.519857172637846e-05,0.03795828661633301,0.00022736147976195527,0.0003371179972233798,0.037502931827145,0.00022327626132305085,1.28,0.0
0.044,0.0,0.0,1.736121534566195e-05,0.051658967359763,0.00030986363791591525,0.00020383015508567995,0.050640999300469836,0.00030278577100771814,0.0003690378082865162,0.04065737667609289,0.00024202438686826778,1.8454129076622976e-05,0.051658967359763,0.00030985793145541174,0.00016459071378153423,0.05003350028994249,0.00029934497437427966,0.0004985833826970494,0.05003350028994249,0.00029760713388914876,6.453202663054588e-05,0.050640999300469836,0.0003035103953513356,8.676938557506815e-05,0.039856200947149666,0.0002386860142525397,0.0003887938599509869,0.03937807841850225,0.00023424576252767325,1.344,0.0
0.046,0.0,0.0,1.992840919066142e-05,0.05411891818641837,0.00032460934182643625,0.0002335945262554796,0.05305247545763506,0.00031709187181529626,0.0004228528699203791,0.04259344223209731,0.0002533464265428648,2.117590497504087e-05,0.05411891818641837,0.0003246027843440505,0.00018864666214571648,0.05241604792279689,0.0003135087432540921,0.000571277909576517,0.05241604792279689,0.00031150478724059904,7.397006409391666e-05,0.05305247545763506,0.0003179276605860271,9.947242585218595e-05,0.04175411527796631,0.0002500040753543475,0.00044547680412551904,0.0412532250098595,0.0002451865868994511,1.408,0.0
0.048,0.0,0.0,2.2741341431381626e-05,0.056578869013073754,0.00033935364362329857,0.00026611868975656033,0.05546395161480029,0.00033138214253126887,0.0004816399956413905,0.04452950778810173,0.00026463992950908813,2.4156549272663547e-05,0.056578869013073754,0.0003393461586485923,0.0002149382824634687,0.054798595555651294,0.00032765969336103347,0.0006506860249435603,0.054798595555651294,0.0003253639058764487,8.428675784413335e-05,0.05546395161480029,0.00033233988930423823,0.00011336112054012492,0.04365202960878296,0.0002613153430975847,0.0005073936423972426,0.04312837160121675,0.0002560973687825474,1.472,0.0
0.05,0.0,0.0,2.5812227466065612e-05,0.05903881983972914,0.00035409647098978654,0.00030152391413443795,0.057875427771965526,0.0003456558544932538,0.0005456144081470199,0.04646557334410616,0.00027590360009078867,2.7408633957422263e-05,0.05903881983972914,0.00035408797974273887,0.00024356476124142925,0.0571811431885057,0.0003417972294362534,0.0007370978239976542,0.0571811431885057,0.00033918274298137287,9.552137163994848e-05,0.057875427771965526,0.00034674684608472836,0.00012848900169972288,0.045549943939599616,0.0002726194969143569,0.0005747703538613825,0.045003518192574005,0.0002669767473010606,1.536,0.0
0.052000000000000005,0.0,0.0,2.9153452519589647e-05,0.06149877066638452,0.0003688377506335107,0.00033993128481964413,0.060286903929130754,0.0003599122800899779,0.0006149905748275972,0.04840163890011059,0.0002871361469517814,3.094487129464271e-05,0.06149877066638452,0.0003688281721945626,0.0002746252603660924,0.05956369082136011,0.00035592075636071204,0.0008308023153142353,0.05956369082136011,0.00035295955798417473,0.00010771319736792798,0.060286903929130754,0.00036114829534494484,0.00014490970981602633,0.04744785827041627,0.0002839162156122993,0.000647832047304606,0.046878664783931254,0.00027782336658041924,1.6,0.0
0.054,0.0,0.0,3.2777578834046695e-05,0.0639587214930399,0.00038357740824312183,0.00038146169620203064,0.06269838008629598,0.00037415069280885804,0.0006899821759071118,0.05033770445611501,0.0002983362832877245,3.477811981975936e-05,0.0639587214930399,0.00038356665973047154,0.00030821891575081217,0.061946238454214514,0.00037002967916309053,0.0009320873750920597,0.061946238454214514,0.00036669261683340164,0.00012090155628762867,0.06269838008629598,0.00037554400133356835,0.00016267699809258989,0.04934577260123292,0.0002952051773485014,0.0007268029246036929,0.0487538113752885,0.0002886358759679034,1.6640000000000001,0.0
0.056,0.0,0.0,3.669735283457335e-05,0.06641867231969528,0.00039831536844516744,0.0004262358437097344,0.06510985624346122,0.00038837036728355516,0.0007708020727097454,0.05227377001211943,0.0003095027270172739,3.892139031732849e-05,0.06641867231969528,0.00039830336519925313,0.0003444448359467673,0.0643287860870689,0.0003841234030279086,0.001041239701591856,0.0643287860870689,0.00038038019227186107,0.0001351258002795453,0.06510985624346122,0.0003899337281230415,0.00018184473669213312,0.051243686932049566,0.0003064860596037419,0.0008119062442829339,0.05062895796664575,0.0002994129302522524,1.728,0.0
0.058,0.0,0.0,4.092571226940585e-05,0.06887862314635065,0.0004130515547610965,0.00047437421589300937,0.06752133240062644,0.0004025705793415002,0.0008576622760573123,0.05420983556812385,0.0003206342009724847,4.338785178576197e-05,0.06887862314635065,0.0004130382105361999,0.00038340210071644807,0.06671133371992331,0.0003982013333038593,0.0011585447697741304,0.06671133371992331,0.0003940205641099888,0.0001504253130959237,0.06752133240062644,0.00040431723960208135,0.00020246691692139135,0.05314160126286622,0.00031775853915704455,0.0009033642852367687,0.052504104558003,0.0003101531898823204,1.792,0.0
